n_nodos,atoms_w,atoms_l,seed,p_0,p_1,e_gap,e_0,e_1,succ,ar,hp
11,5,4,0,0.4459,0.35085,0.046800000000000175,-3.3422,-3.2954,0.35085,0.9855999431512176,1.87693656273902
11,5,4,1,0.9779,0.022,0.08109999999999973,-2.8224,-2.7413000000000003,0.9779,0.9993610083616778,1.194871073945964
11,5,4,2,0.4498,0.42605,0.0040000000000000036,-2.2337000000000002,-2.2297000000000002,0.42605,0.9856494806822763,3.2529895747829363
11,5,4,7,0.99925,0.0004,0.13319999999999999,-3.4836,-3.3504,0.99925,0.9999376765415088,1.0121612306000516
11,5,4,11,0.6159,0.24205,0.02800000000000047,-3.1236,-3.0955999999999997,0.6159,0.9957016055192727,2.405643396888636
11,5,4,12,0.99205,0.00795,0.3075999999999999,-4.0508,-3.7432,0.99205,0.9989937876468847,1.0000000000562856
11,5,4,13,1.0,0.0,0.3193999999999999,-2.8461,-2.5267,1.0,1.0,1.000000000008973
11,5,4,15,0.99985,0.0001,0.06869999999999976,-3.5454,-3.4767,0.99985,0.9999780208157046,1.3115436948334458
11,5,4,16,0.76305,0.1604,0.06119999999999992,-2.3981,-2.3369,0.76305,0.9934039447896253,1.608745604776279
11,5,4,17,0.805,0.1947,0.03600000000000003,-2.8223,-2.7862999999999998,0.805,0.9974780675335719,1.7238290477046054
11,5,4,18,0.77635,0.2236,0.11109999999999998,-2.4777,-2.3666,0.77635,0.9899097287807241,1.0907891022664624
11,5,4,19,0.73385,0.1586,0.019000000000000128,-2.0566,-2.0376,0.73385,0.9901676018671594,2.5039732638756114
11,5,4,20,0.9989,0.0008,0.05740000000000034,-3.1012999999999997,-3.0438999999999994,0.9989,0.9999440395962985,1.4401767229864817
11,5,4,21,0.9826,0.01735,0.0827,-3.4326999999999996,-3.3499999999999996,0.9826,0.9995749817927578,1.2032230523408989
11,5,4,23,0.9392,0.0601,0.08869999999999978,-3.0314,-2.9427000000000003,0.9392,0.998090751797849,1.1405145896270918
11,5,4,27,0.98815,0.0104,0.42079999999999984,-2.2781,-1.8573,0.98815,0.9977692836135376,1.0
11,5,4,31,0.73535,0.26455,0.043999999999999595,-2.1111999999999997,-2.0672,0.73535,0.9944713291019326,1.6214586887230424
11,5,4,33,0.8611,0.13775,0.04659999999999975,-2.3479,-2.3013000000000003,0.8611,0.997214208441586,2.0775837215924384
11,5,4,36,0.95495,0.045,0.03660000000000041,-2.4068,-2.3701999999999996,0.95495,0.9993113449393385,2.035851441334511
11,5,4,37,0.99995,5e-05,0.09990000000000032,-2.9975,-2.8975999999999997,0.99995,0.9999968924103418,1.083185634364124
11,5,4,38,0.9426,0.05315,0.05750000000000011,-3.6098,-3.5523,0.9426,0.9976989833231757,1.44690697268855
11,5,4,42,0.9719,0.02695,0.005799999999999805,-2.8163,-2.8105,0.02695,0.9976279995028939,1.991925938765363
11,5,4,45,0.68015,0.17035,0.005399999999999849,-2.6825,-2.6771000000000003,0.17035,0.994997520969245,3.041857508319188
11,5,4,46,0.9745,0.02455,0.15039999999999987,-3.2255,-3.0751,0.9745,0.9986981863277011,1.0035458143824796
11,5,4,49,0.4576,0.40155,0.02880000000000038,-2.8707000000000003,-2.8419,0.40155,0.9928595725781167,2.5713982815069913
11,5,4,50,0.9999,0.0001,0.24649999999999972,-2.5305999999999997,-2.2841,0.9999,0.9999902592270609,1.000000261724054
11,5,4,51,1.0,0.0,0.14959999999999996,-1.965,-1.8154000000000001,1.0,1.0,1.0037836351719616
11,5,4,53,0.99995,5e-05,0.2519,-2.8367999999999998,-2.5848999999999998,0.99995,0.9999955601381839,1.0000001337513784
11,5,4,55,0.9941,0.0059,0.020500000000000185,-3.5041,-3.4836,0.0059,0.9941842270483149,1.9085564622196411
11,5,4,56,0.7766,0.2233,0.0007999999999999119,-2.4703,-2.4695,0.2233,0.9997119823503218,3.462937564534907
11,5,4,57,0.89645,0.057,0.02839999999999998,-2.6077,-2.5793,0.0254,0.9875003374621313,2.2278915740523693
11,5,4,58,0.8689,0.1311,0.10539999999999994,-2.3815,-2.2761,0.8689,0.9941977997060676,1.0626014778690749
11,5,4,60,0.99995,5e-05,0.4034,-3.6568,-3.2534,0.99995,0.9999882014329469,1.0
11,5,4,61,0.99695,0.0023,0.1025999999999998,-3.1475999999999997,-3.045,0.99695,0.9997163950311349,1.072389218283209
11,5,4,62,0.65635,0.33435,0.016999999999999904,-2.2416,-2.2246,0.00515,0.9772499330835117,2.0414827296174898
11,5,4,63,0.9821,0.0179,0.1155999999999997,-3.845,-3.7294000000000005,0.9821,0.9982169830949283,1.0356775640063485
11,5,4,65,0.9991,0.00035,0.1650999999999998,-2.8235,-2.6584000000000003,0.9991,0.9998392580131044,1.0011149044525327
11,5,4,67,0.9391,0.06085,0.09820000000000029,-2.0327,-1.9344999999999999,0.9391,0.9970542800216463,1.0902368220675658
11,5,4,68,0.8708,0.1291,0.03180000000000005,-3.265,-3.2332,0.1291,0.9914940245022971,1.7770625908686783
11,5,4,69,0.85275,0.10215,0.0008999999999999009,-1.9912,-1.9903000000000002,0.10215,0.9987719992969064,2.708240581050661
11,5,4,71,0.9993,0.00045,0.16530000000000022,-2.6237,-2.4583999999999997,0.9993,0.9999373689827343,1.001156339836046
11,5,4,72,0.9993,0.0003,0.21569999999999956,-2.6769,-2.4612000000000003,0.9993,0.9999010310433711,1.0000091201954047
11,5,4,73,0.93885,0.02975,0.14110000000000023,-2.6596,-2.5185,0.93885,0.9955634117912467,1.0070711158937007
11,5,4,76,0.99925,0.00065,0.15559999999999974,-3.4985999999999997,-3.343,0.99925,0.9999223975304407,1.0023838041462587
11,5,4,78,0.9994,0.0004,0.40879999999999983,-3.7922999999999996,-3.3834999999999997,0.9994,0.9998937478575006,1.0
