n_nodos,atoms_w,atoms_l,seed,p_0,p_1,e_gap,e_0,e_1,succ,ar,hp
21,6,6,3,0.99985,0.0001,0.03960000000000008,-4.9787,-4.9391,0.99985,0.9999950810452527,1.6764032537806672
21,6,6,4,0.55455,0.4083,0.03219999999999956,-4.0514,-4.0192000000000005,0.4083,0.9935445673100658,2.1840172227296244
21,6,6,5,0.9518,0.02465,0.038000000000000256,-6.4366,-6.3986,0.0076,0.9932270896125284,1.739950155426969
21,6,6,6,0.9777,0.00935,0.2093000000000007,-4.8825,-4.6732,0.9777,0.9975505837173582,1.00001797215813
21,6,6,7,0.9997,0.0003,0.08479999999999954,-5.112299999999999,-5.0275,0.9997,0.9999774015609412,1.1867733048766267
21,6,6,8,0.37965,0.2945,0.055000000000000604,-4.1873000000000005,-4.1323,0.37965,0.9873429262293123,2.0920884634702475
21,6,6,9,0.98105,0.01245,0.1014999999999997,-5.270099999999999,-5.1686,0.98105,0.9994178592436578,1.076954925614216
21,6,6,11,0.5291,0.45815,0.09210000000000029,-4.4216999999999995,-4.329599999999999,0.5291,0.9821336465612774,1.125268296625991
21,6,6,12,0.7034,0.2492,0.05299999999999905,-5.239599999999999,-5.1866,0.2492,0.9919182017711277,1.8717986187497546
21,6,6,13,0.9677,0.01325,0.08349999999999991,-4.7499,-4.6664,0.9677,0.9989689951367399,1.1903032886294531
21,6,6,14,0.93465,0.0381,0.01100000000000012,-4.837200000000001,-4.826200000000001,0.93465,0.9989880437029689,2.885035200162229
21,6,6,15,0.6864,0.3131,0.05679999999999907,-4.492699999999999,-4.4359,0.3131,0.9912794844970731,1.868397546924125
21,6,6,16,0.9585,0.0411,0.030300000000000438,-5.445,-5.4147,0.9585,0.9991127520661156,2.583088225821378
21,6,6,17,0.57345,0.1702,0.006099999999999994,-4.8305,-4.8244,0.03355,0.9583116540730778,2.0152219659350106
21,6,6,18,0.9362,0.05985,0.014199999999999768,-4.912,-4.8978,0.05985,0.9971788558631924,2.108894860967932
21,6,6,19,0.99875,0.00095,0.1656000000000004,-5.4062,-5.2406,0.99875,0.9999542506751509,1.0010735971976392
21,6,6,20,0.9814,0.015,0.04719999999999924,-4.6061,-4.5589,0.0017,0.9888479049521289,2.2253647790648157
21,6,6,22,0.88105,0.05895,0.045700000000000074,-5.2774,-5.2317,0.0333,0.9901531739113955,2.2874020778125863
