n_nodos,atoms_w,atoms_l,seed,p_0,p_1,e_gap,e_0,e_1,succ,ar,hp
10,4,4,1,0.968,0.0262,0.025099999999999678,-2.3198,-2.2947,0.968,0.9990071040606948,2.1542363432337344
10,4,4,2,0.76665,0.23005,0.10309999999999997,-2.1684,-2.0653,0.76665,0.9888117160118061,1.0717366953881107
10,4,4,4,0.99985,0.0001,0.19940000000000024,-2.2875,-2.0881,0.99985,0.9999866885245902,1.0001472547791168
10,4,4,5,0.76545,0.23425,0.011199999999999655,-2.9307,-2.9195,5e-05,0.9930955369024467,3.2054939906878914
10,4,4,7,0.99995,5e-05,0.13490000000000002,-3.0201000000000002,-2.8852,0.99995,0.999988510314228,1.0107451294227372
10,4,4,8,0.9765,0.02025,0.07699999999999996,-2.4988,-2.4218,0.9765,0.998643116696014,1.227899259652961
10,4,4,9,0.99425,0.0055,0.07240000000000002,-2.6827,-2.6103,0.99425,0.9998404685577963,1.3016878403561563
10,4,4,10,0.92305,0.07455,0.007200000000000095,-2.593,-2.5858,0.92305,0.9995444639413806,2.093214104134675
10,4,4,11,0.7756,0.1832,0.020500000000000185,-2.088,-2.0675,0.00285,0.9722173108237547,2.8957183807291513
10,4,4,12,0.99765,0.00195,0.23080000000000034,-2.7789,-2.5481,0.99765,0.9997973514700059,1.0000016989074703
10,4,4,13,0.9999,5e-05,0.37289999999999957,-2.4859999999999998,-2.1131,0.9999,0.9999734111021723,1.0000000000000009
10,4,4,14,0.99995,5e-05,0.14639999999999986,-2.639,-2.4926,0.99995,0.9999920538082607,1.0047669917554576
10,4,4,15,0.65735,0.32065,0.007299999999999862,-2.5701,-2.5628,0.65735,0.9925744173378469,2.5672303003673838
10,4,4,16,1.0,0.0,0.21940000000000004,-2.0726,-1.8532,1.0,1.0,1.000006103299365
10,4,4,18,0.96635,0.03365,0.00649999999999995,-1.8716,-1.8651,0.03365,0.9966439009403718,2.2427148455776678
10,4,4,19,1.0,0.0,0.3331000000000002,-2.0714,-1.7383,1.0,1.0,1.0000000000010645
10,4,4,20,0.86795,0.13205,0.056599999999999984,-2.7379000000000002,-2.6813000000000002,0.86795,0.997270159611381,1.7945945234357312
10,4,4,21,0.99995,5e-05,0.10679999999999978,-3.1808,-3.0740000000000003,0.99995,0.9999941602741449,1.0581303551454884
10,4,4,22,0.97705,0.0227,0.12890000000000001,-1.8002,-1.6713,0.97705,0.9983414092878569,1.015864417895689
10,4,4,23,0.9525,0.0475,0.03069999999999995,-2.4832,-2.4525,0.9525,0.9994127537048968,2.110991963652895
10,4,4,24,0.87055,0.12855,0.06440000000000046,-2.786,-2.7215999999999996,0.87055,0.9969998546302945,1.551899519742856
10,4,4,25,0.96325,0.0362,0.0351999999999999,-2.0291,-1.9939000000000002,0.96325,0.9993067197279581,1.7341411231384036
10,4,4,27,0.99985,0.00015,0.28959999999999964,-3.0406999999999997,-2.7511,0.99985,0.9999528891373698,1.0000000008219996
10,4,4,28,0.815,0.1846,0.028799999999999937,-2.852,-2.8232,0.1846,0.9916433520336604,1.8131108252034038
10,4,4,29,1.0,0.0,0.03510000000000035,-2.7837,-2.7485999999999997,1.0,1.0,1.7354719891986723
