n_nodos,atoms_w,atoms_l,seed,p_0,p_1,e_gap,e_0,e_1,succ,ar,hp
15,5,5,0,0.98125,0.0185,0.15629999999999988,-3.9812,-3.8249,0.98125,0.9982311363408019,1.0022574565503213
15,5,5,1,0.99505,0.00415,0.2724999999999991,-4.462299999999999,-4.1898,0.99505,0.9996522533222778,1.000000017557439
15,5,5,2,0.9518,0.0461,0.011500000000000288,-2.9930000000000003,-2.9815,0.9518,0.9985109238222518,2.138250379612443
15,5,5,4,0.52585,0.47405,0.022399999999999753,-3.8791999999999995,-3.8568,0.52585,0.9972521744174057,1.8823606680467608
15,5,5,7,0.913,0.08645,0.17410000000000014,-4.4834,-4.3092999999999995,0.913,0.996599105589508,1.0005206510487799
15,5,5,8,0.99965,0.0003,0.23909999999999965,-3.9842999999999997,-3.7452,0.99965,0.9999307255979719,1.000000641531951
15,5,5,12,0.88015,0.06085,0.12639999999999985,-3.3223,-3.1959,0.88015,0.9907054450230264,1.0351551994324821
15,5,5,13,0.86205,0.06865,0.008700000000000152,-3.3794,-3.3707,0.06865,0.994764869503462,3.265573576328663
15,5,5,14,0.7846,0.1627,0.09660000000000002,-3.1189,-3.0223,0.7846,0.9918842733014844,1.1411975106682024
15,5,5,15,0.74175,0.25825,0.046699999999999964,-3.3552,-3.3085,0.25825,0.9896758091917026,2.252839064558803
15,5,5,16,0.99385,0.00615,0.13620000000000054,-4.1492,-4.013,0.99385,0.9997981225296442,1.0097850803119612
15,5,5,17,0.866,0.05845,0.04610000000000003,-2.3251,-2.279,0.866,0.9951753817040125,1.9318089466608193
15,5,5,19,0.94165,0.03505,0.0017000000000000348,-3.8735,-3.8718,0.01725,0.9990192371240482,3.0191107215992785
15,5,5,22,0.8219,0.11035,0.019300000000000317,-3.5338000000000003,-3.5145,0.0018,0.9409383411624879,3.318021367989609
15,5,5,23,0.99295,0.00615,0.4040999999999997,-4.1398,-3.7357000000000005,0.99295,0.9988988634716655,1.0
15,5,5,27,0.9967,0.0032,0.0004999999999997229,-3.9818999999999996,-3.9814,0.0032,0.9998626309048446,2.0072176192361764
15,5,5,28,0.9594,0.03895,0.014000000000000234,-3.2051000000000003,-3.1911,0.03895,0.9957585831955322,2.8496240210247312
15,5,5,29,0.81295,0.1859,0.05900000000000016,-4.3369,-4.2779,0.81295,0.9973310555927044,1.4196775799809271
15,5,5,32,0.99455,0.00535,0.0246000000000004,-3.9542,-3.9295999999999998,0.99455,0.9997247205503011,1.8599313451586366
15,5,5,33,0.7746,0.1554,0.10719999999999974,-3.7142999999999997,-3.6071,0.7746,0.992846891742724,1.140500424013367
15,5,5,35,0.87035,0.12855,0.08440000000000003,-3.9268000000000005,-3.8424000000000005,0.87035,0.9969871180095755,1.1691855413802268
15,5,5,37,0.9798,0.0196,0.13480000000000025,-3.9571,-3.8223,0.9798,0.99927718025827,1.010808208624941
15,5,5,40,0.6866,0.3131,0.06520000000000037,-3.7912000000000003,-3.726,0.3131,0.9826648791939226,1.6363286931267218
15,5,5,41,0.8664,0.13315,0.027900000000000258,-3.8053000000000003,-3.7774,0.8664,0.9989356239981076,1.823542988812877
15,5,5,42,0.94825,0.0517,0.13949999999999996,-3.5348,-3.3953,0.94825,0.9979553199615255,1.0077972474231267
15,5,5,44,0.98405,0.0156,0.13750000000000018,-3.7834,-3.6458999999999997,0.98405,0.9994086588782576,1.0094470017400832
15,5,5,46,0.98185,0.01315,0.17110000000000003,-3.0069,-2.8358,0.98185,0.99842629618544,1.000722688928284
15,5,5,47,0.99965,0.0003,0.029199999999999893,-3.5039,-3.4747,0.99965,0.9999943420188933,1.8600627577953237
15,5,5,49,0.9512,0.04565,0.09549999999999947,-4.8572999999999995,-4.7618,0.9512,0.9988515090688241,1.1029797559450971
15,5,5,53,0.86625,0.13355,0.005399999999999849,-3.6515999999999997,-3.6462,0.13355,0.9987106035710375,2.7085231464161312
15,5,5,55,0.99835,0.0014,0.05590000000000028,-4.1112,-4.0553,0.99835,0.9999150661607318,1.463339219885278
15,5,5,56,0.99955,0.0004,0.23329999999999984,-5.1431,-4.9098,0.99955,0.999979128346717,1.0000023114543308
15,5,5,57,0.69265,0.2814,0.0530999999999997,-3.1601999999999997,-3.1071,0.69265,0.9931648677298907,1.8966313592236417
15,5,5,59,0.9987,0.00115,0.0495000000000001,-4.2395,-4.1899999999999995,0.9987,0.9999551138105908,1.9786085305915178
15,5,5,60,0.58445,0.26665,0.2791000000000001,-2.9649,-2.6858,0.58445,0.9575699770649937,1.000000009015218
15,5,5,61,0.7979,0.1998,0.03990000000000027,-2.8869000000000002,-2.847,0.1998,0.9888199625896289,1.7780133696512048
15,5,5,62,0.99885,0.0011,0.07999999999999918,-3.3731999999999998,-3.2932000000000006,0.99885,0.9999587557808609,1.2026831968473424
15,5,5,64,0.98965,0.0103,0.129,-3.8825000000000003,-3.7535000000000003,0.98965,0.9996542833226015,1.015752175211461
15,5,5,65,0.56715,0.37855,0.007200000000000095,-3.2592,-3.252,0.56715,0.9973397459499264,2.2804128692350245
15,5,5,66,0.57025,0.21955,0.0030999999999998806,-3.0355999999999996,-3.0324999999999998,0.21955,0.993387933192779,2.149647011074305
15,5,5,67,0.99985,5e-05,0.049900000000000055,-3.04,-2.9901,0.99985,0.9999895559210525,1.598596906262189
15,5,5,68,0.86205,0.1378,0.2320000000000002,-3.8047999999999997,-3.5727999999999995,0.86205,0.9892777583578639,1.0000014775527686
15,5,5,70,0.9692,0.03045,0.12590000000000057,-3.8438000000000008,-3.7179,0.9692,0.9989331468858943,1.0194280980382096
15,5,5,73,0.98425,0.0147,0.013399999999999856,-3.3232,-3.3098,0.0,0.9830509373495426,3.0286237053407157
15,5,5,75,0.9996,0.0003,0.2206999999999999,-3.9182,-3.6975000000000002,0.9996,0.9999441197488641,1.0000085723334844
15,5,5,76,0.7479,0.1414,0.040599999999999525,-4.933599999999999,-4.893,0.7479,0.9939115797794715,2.123077051018757
15,5,5,79,0.58955,0.3834,0.10250000000000004,-3.9227000000000003,-3.8202000000000003,0.58955,0.988513003798404,1.085066822487826
15,5,5,80,0.99955,0.0003,0.11399999999999988,-3.8751999999999995,-3.7611999999999997,0.99955,0.9999816641721718,1.0563916858229532
15,5,5,83,0.7023,0.29725,0.08979999999999988,-3.4318999999999997,-3.3421,0.7023,0.9921761385821265,1.133799399626398
15,5,5,84,0.96305,0.02555,0.22380000000000022,-4.0507,-3.8268999999999997,0.96305,0.9978535796282123,1.0000045952616172
15,5,5,86,0.9999,5e-05,0.19669999999999987,-4.6392,-4.4425,0.9999,0.9999870236247629,1.0000643807917617
15,5,5,89,0.95195,0.04775,0.17479999999999984,-4.0807,-3.9059000000000004,0.95195,0.9979058188546082,1.000489871561846
15,5,5,90,0.97155,0.0188,0.050799999999999734,-4.1212,-4.0704,0.0188,0.9875049366689316,1.5447880294871397
15,5,5,92,0.99925,0.0004,0.38400000000000034,-4.6756,-4.2916,0.99925,0.9998601837197364,1.0
15,5,5,93,0.56985,0.36095,0.05869999999999953,-3.1325999999999996,-3.0739,0.36095,0.9865633004532977,1.7545843575255984
15,5,5,96,0.9995,0.0004,0.16159999999999952,-4.1479,-3.9863000000000004,0.9995,0.9999568854118952,1.0014828723140607
15,5,5,98,0.9993,0.0003,0.17079999999999984,-5.0724,-4.9016,0.9993,0.9999673271035405,1.0006957809747232
15,5,5,99,0.9899,0.0059,0.05679999999999996,-3.9034000000000004,-3.8466000000000005,0.9899,0.999285267971512,1.4472115464358108
15,5,5,100,0.99965,0.00015,0.09560000000000013,-3.6409,-3.5452999999999997,0.99965,0.9999691518580572,1.102606408540688
15,5,5,101,0.99285,0.0058,0.42239999999999966,-4.5767,-4.1543,0.99285,0.9987706262153955,1.0
15,5,5,103,0.99955,0.0002,0.2265000000000006,-4.315300000000001,-4.0888,0.99955,0.9999006558060854,1.0000055756199393
15,5,5,104,0.6871,0.30735,0.05229999999999979,-2.9955,-2.9432,0.30735,0.9876647688198967,1.5714877875915032
15,5,5,105,0.99725,0.0024,0.024200000000000443,-4.4959,-4.471699999999999,0.99725,0.9999289118975069,1.8640915133124865
15,5,5,106,0.74655,0.21285,0.009299999999999642,-3.0766,-3.0673000000000004,0.0371,0.9903105408567902,2.764184703593271
15,5,5,107,0.99255,0.00225,0.08939999999999948,-4.0214,-3.9320000000000004,0.99255,0.9996661535783556,1.151722640484813
15,5,5,108,0.84915,0.1028,0.21369999999999933,-3.3655999999999997,-3.1519000000000004,0.1028,0.933624508260043,1.00001146101865
15,5,5,109,0.99215,0.0064,0.09820000000000029,-3.1586,-3.0603999999999996,0.99215,0.9997281263851073,1.1000790091475063
15,5,5,111,0.9978,0.002,0.02740000000000009,-4.3345,-4.3071,0.002,0.993671289652786,2.1716361853272437
15,5,5,114,0.7624,0.2261,0.06369999999999987,-3.017,-2.9533,0.2261,0.9820211816373884,1.3634622037478792
15,5,5,115,0.90325,0.05885,0.14039999999999964,-3.9366,-3.7962000000000002,0.90325,0.9958177945435146,1.0073338574660466
15,5,5,116,0.99915,0.00055,0.3123,-3.5914000000000006,-3.2791000000000006,0.99915,0.9998859901431195,1.0000000000272138
15,5,5,117,0.98385,0.00575,0.04170000000000007,-3.5183000000000004,-3.4766000000000004,0.98385,0.9995636912713527,1.8237960298382658
