n_nodos,atoms_w,atoms_l,seed,p_0,p_1,e_gap,e_0,e_1,succ,ar,hp
19,6,5,0,0.6758,0.2,0.039000000000000146,-3.5467,-3.5077,0.6758,0.9940197620323117,1.8828549953258742
19,6,5,2,0.8498,0.0824,0.016100000000000225,-3.9878000000000005,-3.9717000000000002,0.0824,0.9950777408596219,2.364257880673244
19,6,5,4,0.46735,0.237,0.03980000000000006,-3.9579,-3.9181,0.23625,0.9705228896637104,1.7178510156753914
19,6,5,5,0.9556,0.0443,0.16190000000000015,-4.2382,-4.0763,0.9556,0.9982591123590204,1.0025172727657925
19,6,5,7,0.915,0.06155,0.055600000000000094,-4.5388,-4.4832,0.915,0.9981941052701154,1.518731919671972
19,6,5,8,0.798,0.0921,0.09469999999999956,-3.7672999999999996,-3.6726,0.798,0.9913573620364718,1.1150867777330364
19,6,5,10,0.5015,0.49665,0.01880000000000015,-3.8016,-3.7828,0.49665,0.9973832294297137,1.918317155325681
19,6,5,12,0.6413,0.3587,0.03739999999999988,-4.7433,-4.7059,0.3587,0.9949434739527334,1.7685278182703381
19,6,5,13,0.99465,0.005,0.09810000000000141,-4.502600000000001,-4.4045,0.99465,0.9998484297961178,1.0906796855722418
19,6,5,14,0.8738,0.079,0.08140000000000036,-5.0877,-5.0062999999999995,0.8738,0.9971988540991017,1.236133562262596
19,6,5,15,0.8061,0.19305,0.062100000000000044,-4.2985,-4.2364,0.19305,0.9882921647086192,1.386242255058107
19,6,5,16,0.56875,0.35645,0.051000000000000156,-5.5429,-5.4919,0.35645,0.9929365584802177,1.536632049949185
19,6,5,17,0.93815,0.0342,0.001100000000000545,-3.5469,-3.5457999999999994,0.0014,0.9967135653669403,2.4384281623254753
19,6,5,18,1.0,0,0.08740000000000059,-5.147,-5.0596,1.0,1.0,1.1613101429660664
19,6,5,19,0.9445,0.0506,0.01690000000000058,-5.102600000000001,-5.0857,0.9445,0.9993312017402893,1.931238439089072
19,6,5,20,0.99655,0.00225,0.04740000000000055,-4.2319,-4.1845,0.99655,0.9999265826224626,1.850359783995835
19,6,5,22,0.75285,0.2463,0.013700000000000045,-5.2315000000000005,-5.2178,0.75285,0.9992632992449584,2.019758772455
19,6,5,24,0.62055,0.2605,0.05730000000000057,-5.0159,-4.9586,0.62055,0.9936212942841762,1.8777767590220995
19,6,5,25,0.99565,0.00215,0.2801,-4.822900000000001,-4.542800000000001,0.99565,0.9995655321487071,1.0000000031706051
19,6,5,27,0.5096,0.4808,0.08869999999999978,-3.8908,-3.8021000000000003,0.4808,0.9779225750488334,1.2013596020893338
19,6,5,28,0.966,0.03345,0.014000000000000234,-5.3366,-5.3225999999999996,0.03345,0.9974089542030506,2.0107196516291914
19,6,5,29,0.9889,0.01055,0.01670000000000016,-4.6106,-4.5939,0.01055,0.9963669413959138,2.2324966740356746
19,6,5,30,0.9708,0.02885,0.2472000000000003,-4.8879,-4.6407,0.9708,0.9977793039955808,1.000000240108266
19,6,5,32,1.0,0,0.1607000000000003,-5.084,-4.923299999999999,1.0,1.0,1.0016504768725552
19,6,5,34,0.9975,0.00235,0.08969999999999967,-5.0575,-4.9678,0.9975,0.9998086169055856,1.2465513173717266
19,6,5,35,0.99855,0.00125,0.3357000000000001,-5.1938,-4.8581,0.99855,0.9999005400670028,1.0000000000010383
19,6,5,36,0.97945,0.01185,0.05590000000000028,-4.5593,-4.5034,0.0067,0.9867201873094554,1.810629968447986
19,6,5,38,0.9855,0.01295,0.1581999999999999,-3.9762,-3.818,0.9855,0.9993336124943412,1.0035808067771144
19,6,5,39,0.99815,0.0011,0.3401000000000005,-5.1013,-4.7612,0.99815,0.9998671015231411,1.0000000000003062
19,6,5,40,0.99765,0.00105,0.0844999999999998,-3.8341,-3.7496,0.99765,0.9999379006807333,1.2813477523506762
19,6,5,41,0.4818,0.4438,0.04940000000000078,-4.027100000000001,-3.9777,0.4818,0.9929369595987185,1.963032280166737
