n_nodos,atoms_w,atoms_l,seed,p_0,p_1,e_gap,e_0,e_1,succ,ar,hp
25,7,6,2,0.9918,0.0075,0.11319999999999908,-6.082599999999999,-5.9694,0.9918,0.9997965705454905,1.0628159916593691
25,7,6,3,0.9314,0.06555,0.06299999999999972,-5.5703,-5.5073,0.00015,0.9883941502253022,1.5792432737138726
25,7,6,4,0.97415,0.0132,0.10459999999999958,-6.390699999999999,-6.286099999999999,0.97415,0.9992032930664874,1.1061961024707916
25,7,6,5,0.84045,0.1507,0.0237999999999996,-6.0706999999999995,-6.0469,0.1507,0.996063445731135,1.870588384720094
25,7,6,6,0.97355,0.02225,0.005399999999999849,-6.6837,-6.6783,0.97355,0.9996599398536743,1.9930962264913599
25,7,6,8,0.7342,0.19345,0.021600000000000286,-4.5739,-4.5523,0.0133,0.9837953595399986,3.092181142714986
25,7,6,10,0.9978,0.00175,0.009400000000000297,-5.707800000000001,-5.6984,0.9978,0.999982188408844,2.0962857589594592
25,7,6,12,0.67475,0.32505,0.035200000000000564,-6.3152,-6.279999999999999,0.32505,0.9962278756017227,1.7379139513263606
25,7,6,14,0.95645,0.0269,0.022499999999999964,-6.6275,-6.605,0.00425,0.9962661893625047,2.4005321265396478
25,7,6,17,0.8331,0.1027,0.059499999999999886,-5.7525,-5.6930000000000005,0.8331,0.9966605249891354,1.4387451791611507
25,7,6,19,0.616,0.1879,0.03140000000000054,-4.6776,-4.646199999999999,0.1879,0.9607039133316234,1.895818965279151
25,7,6,20,0.99855,0.0007,0.13339999999999996,-5.8424,-5.709,0.99855,0.9998952331233738,1.0215941559699557
25,7,6,21,0.9958,0.0021,0.047100000000000364,-6.2079,-6.1608,0.9958,0.9998396035696453,1.5910463295867228
25,7,6,24,0.995,0.00275,0.025900000000000034,-6.6953000000000005,-6.6694,0.995,0.9999178513285437,2.7042694012162354
25,7,6,25,0.6056,0.39365,0.010900000000001242,-7.059900000000001,-7.0489999999999995,0.6056,0.9948519107919372,2.284189078045895
25,7,6,27,0.98445,0.01435,0.07789999999999964,-6.6921,-6.6142,0.98445,0.9996653636377224,1.3213394375709813
25,7,6,29,0.98585,0.0066,0.029500000000000526,-7.303700000000001,-7.2742,0.98585,0.9993080534523597,1.8048759343138001
25,7,6,36,0.32675,0.30035,0.0118999999999998,-5.595,-5.5831,0.00435,0.9845028275245757,6.6702793878014655
25,7,6,37,0.9806,0.01515,0.0036000000000004917,-5.8921,-5.8885,0.01515,0.9993139619151064,3.4887151342634573
25,7,6,38,0.9909,0.00585,0.015099999999999447,-5.5309,-5.5158000000000005,0.00015,0.9969151629933646,2.2980963433400023
25,7,6,39,0.8391,0.1034,0.13699999999999957,-5.606999999999999,-5.47,0.8391,0.9957802006420544,1.0127938981609228
25,7,6,40,0.92085,0.04255,0.2353000000000005,-5.6304,-5.395099999999999,0.92085,0.9960932438192669,1.000002280372651
25,7,6,43,0.97515,0.0235,0.09649999999999981,-6.603,-6.5065,0.97515,0.9996261025291534,1.1945428162574585
25,7,6,45,0.9877,0.0121,0.016000000000000014,-6.3395,-6.3235,0.9877,0.9999622202066409,1.9483531221214023
25,7,6,47,0.4072,0.22145,0.017100000000000115,-5.9949,-5.9778,0.1914,0.9905518832674437,3.4919986987731044
25,7,6,49,0.96815,0.0214,0.061799999999999855,-6.364299999999999,-6.302499999999999,0.96815,0.9989975574690069,1.6093111744840045
25,7,6,50,0.98255,0.0174,0.0508999999999995,-6.6094,-6.5585,0.98255,0.9998640330438465,1.5252378773398991
25,7,6,51,0.9411,0.03735,0.09420000000000073,-5.9862,-5.8919999999999995,0.9411,0.9985731774748587,1.25656289861358
25,7,6,53,0.99545,0.0043,0.08040000000000003,-6.6697,-6.5893,0.99545,0.9999017676956982,1.2193197600956711
25,7,6,54,0.9238,0.0412,0.10389999999999944,-6.3142,-6.2103,0.9238,0.9936914628931615,1.0877481839938639
25,7,6,55,0.9366,0.0613,0.007600000000000051,-5.9919,-5.9843,0.9366,0.9998485305161967,1.986061947676989
25,7,6,56,0.52575,0.44915,0.01070000000000082,-5.804500000000001,-5.7938,0.44915,0.9874070367818072,1.9990265591926129
25,7,6,58,0.98865,0.00725,0.08480000000000043,-5.6679,-5.5831,0.98865,0.9997084405158878,1.1971699826394948
25,7,6,59,0.5817,0.3346,0.027899999999999814,-5.9158,-5.8879,0.00025,0.9849020369180839,2.4385345149636968
25,7,6,60,0.69095,0.20085,0.00909999999999922,-6.7246,-6.7155000000000005,0.20085,0.9945648923356036,3.524430719066022
25,7,6,61,0.95575,0.0277,0.0118999999999998,-5.676699999999999,-5.6648,0.0041,0.996982035337432,2.7415248893284407
25,7,6,62,0.9891,0.00975,0.061200000000000365,-5.0235,-4.9623,0.9891,0.9998263959390862,1.7164250060966892
25,7,6,63,0.9972,0.0014,0.11780000000000079,-5.8992,-5.7814,0.9972,0.9999313271291024,1.051768588689997
25,7,6,65,0.9968,0.00105,0.12119999999999997,-5.4894,-5.3682,0.9968,0.9997648395088712,1.0256579679194322
25,7,6,67,0.9844,0.0147,0.19789999999999974,-5.6315,-5.4336,0.9844,0.9994435807511322,1.0001377974616257
25,7,6,70,0.9852,0.0123,0.07920000000000016,-5.4931,-5.4139,0.9852,0.9996115854435563,1.241562068616904
25,7,6,71,0.55545,0.40935,0.1526000000000005,-6.4312000000000005,-6.2786,0.40935,0.9794733463428286,1.0044079332038989
25,7,6,72,0.45005,0.2548,0.000600000000000378,-5.162300000000001,-5.161700000000001,0.15995,0.9891572913236346,2.610268193278607
25,7,6,73,0.77465,0.2179,0.08139999999999947,-5.1178,-5.0364,0.77465,0.9963176267146039,1.2227541206176755
25,7,6,74,0.99965,0.0002,0.08999999999999986,-6.6802,-6.5902,0.99965,0.9999866650699082,1.133741696736231
25,7,6,76,0.71485,0.1771,0.029900000000000482,-6.4526,-6.4227,0.1771,0.9950800452530764,2.0244518475912594
25,7,6,77,0.58005,0.4007,0.049900000000000055,-4.6879,-4.638,0.58005,0.9909493045926747,1.628905996167869
25,7,6,79,0.6007,0.39895,0.010299999999999088,-6.8098,-6.799500000000001,0.6007,0.9939718537989369,3.0409278981470202
25,7,6,80,0.50795,0.31985,0.042599999999999305,-6.7566,-6.714,0.00745,0.9864432288429091,1.8042410363889203
25,7,6,83,0.94435,0.03535,0.0030000000000001137,-6.2503,-6.2473,0.03535,0.9985655376541928,2.339536431328566
25,7,6,85,0.93385,0.06495,0.0007999999999999119,-5.9797,-5.9789,0.06495,0.9998082704817968,2.5856762656895556
25,7,6,87,0.541,0.45415,0.04070000000000018,-6.0316,-5.9909,0.45415,0.9960387127793618,2.12794738207403
25,7,6,88,0.9992,0.00025,0.0691000000000006,-5.6467,-5.5775999999999994,0.9992,0.9999761471301823,1.569853865865377
25,7,6,90,0.7216,0.17595,0.0497999999999994,-5.9742,-5.9244,0.17595,0.9907172106725588,1.5479510385586321
25,7,6,91,0.97335,0.01515,0.2965,-5.417400000000001,-5.120900000000001,0.97335,0.9977872078857019,1.000000000299766
25,7,6,92,0.51155,0.4826,0.07650000000000023,-5.7469,-5.6704,0.51155,0.9874936826810978,1.2426650095649032
25,7,6,93,0.7794,0.1291,0.010599999999999277,-5.8651,-5.854500000000001,0.7794,0.993545864520639,1.9749587253555028
25,7,6,94,0.31035,0.2577,0.014499999999999957,-5.622800000000001,-5.608300000000001,0.0,0.9867363359891869,4.207723779407402
25,7,6,95,0.6651,0.32455,0.039200000000000124,-6.6141,-6.5748999999999995,0.00355,0.9887909035242891,1.6877995735607667
25,7,6,97,0.958,0.0192,0.002400000000000624,-6.495,-6.4925999999999995,0.0192,0.9915035927636642,2.7325495017581893
25,7,6,100,0.67085,0.21245,0.011400000000000077,-5.495,-5.4836,0.0227,0.9845024686078252,2.370904857731138
25,7,6,101,0.99755,0.00115,0.00930000000000053,-5.7406,-5.731299999999999,0.0,0.9983166994739225,3.9733502074845184
25,7,6,102,0.82265,0.13,0.10469999999999935,-5.193199999999999,-5.0885,0.82265,0.9953166024801665,1.0649880988653517
25,7,6,103,0.4526,0.3076,0.045099999999999696,-4.926099999999999,-4.880999999999999,0.0981,0.9857881945149307,2.0763209988046505
