n_nodos,atoms_w,atoms_l,seed,p_0,p_1,e_gap,e_0,e_1,succ,ar,hp
17,6,5,2,0.9091,0.0825,0.009099999999999664,-2.9563,-2.9472000000000005,0.9091,0.996472054595271,2.69618295935016
17,6,5,4,0.6311,0.31375,0.019000000000000128,-3.6660000000000004,-3.6470000000000002,0.0,0.9781328477905071,4.559675342520259
17,6,5,5,0.85735,0.14035,0.021300000000000097,-4.026199999999999,-4.004899999999999,0.00195,0.9943224616263477,2.805860225535942
17,6,5,7,0.9978,0.00195,0.14559999999999995,-4.7658,-4.6202,0.9978,0.999904753661505,1.0051865683951324
17,6,5,8,0.98575,0.0109,0.1355000000000004,-3.5296000000000003,-3.3941,0.98575,0.99888783006573,1.0102588865269835
17,6,5,13,0.9878,0.01085,0.3580999999999994,-4.7592,-4.4011000000000005,0.9878,0.9988276327954277,1.0000000000000129
17,6,5,14,0.8978,0.07225,0.11179999999999968,-4.9388,-4.827,0.8978,0.9947628229529443,1.0442590625409147
17,6,5,15,0.9936,0.0064,0.23459999999999948,-4.0874999999999995,-3.8529,0.9936,0.9996326752293577,1.0000011277337835
17,6,5,16,0.5537,0.3823,0.051000000000000156,-4.9658,-4.9148,0.3823,0.9925982439888837,1.932243355878959
17,6,5,17,0.9997,0.00015,0.17799999999999994,-3.9831,-3.8051,0.9997,0.9999633564309207,1.0003696463180867
17,6,5,18,0.99995,5e-05,0.19169999999999998,-5.1525,-4.9608,0.99995,0.9999940795730229,1.0001045081039523
17,6,5,20,0.9989,0.0006,0.06620000000000026,-4.8442,-4.778,0.9989,0.9998991175013419,1.3351706731843753
17,6,5,22,0.99355,0.0059,0.12809999999999988,-5.3259,-5.1978,0.99355,0.9997785106742522,1.017064326352361
17,6,5,24,0.7237,0.2378,0.018499999999999517,-4.517399999999999,-4.4989,0.0189,0.9917676052596629,3.958136094864338
17,6,5,25,0.9897,0.0103,0.10440000000000005,-4.6806,-4.5762,0.9897,0.9997702602230484,1.0719442479900503
17,6,5,27,0.98745,0.00515,0.08220000000000027,-3.6098000000000003,-3.5276,0.98745,0.9994488060280347,1.3857084266826591
17,6,5,28,0.59015,0.39935,0.014000000000000234,-4.2727,-4.2587,0.39935,0.9972176761766566,2.0113275165456472
17,6,5,29,0.99995,5e-05,0.08000000000000007,-4.5835,-4.5035,0.99995,0.9999958645140177,1.202633456521058
17,6,5,30,0.8918,0.07315,0.026599999999999735,-3.9372999999999996,-3.9107,5e-05,0.9856759175069211,1.8382095351283663
17,6,5,32,0.9996,0.0003,0.1726000000000001,-4.4061,-4.2335,0.9996,0.9999760604616329,1.0005963531354525
17,6,5,34,0.95665,0.0389,0.06570000000000009,-3.9130000000000003,-3.8473,0.95665,0.9984960989010987,1.4872076435467347
17,6,5,35,0.50455,0.34575,0.021399999999999864,-4.7279,-4.7065,0.34575,0.9939418441591404,2.9351484245096504
17,6,5,36,0.99765,0.00065,0.0719000000000003,-3.6035000000000004,-3.5316,0.99765,0.9998665991397254,1.4527897909048677
17,6,5,38,0.84595,0.14195,0.010000000000000231,-3.7216,-3.7116,0.84595,0.9992957410791057,3.050054263931713
17,6,5,41,0.91105,0.08895,0.06270000000000042,-4.4274000000000004,-4.3647,0.91105,0.9987403069521615,1.3754452851648236
17,6,5,44,0.59245,0.234,0.12149999999999928,-5.1699,-5.048400000000001,0.234,0.9801839745449621,1.034498751754761
17,6,5,45,0.7432,0.23025,0.11059999999999981,-3.5248999999999997,-3.4143,0.7432,0.9901074895741722,1.04730665928629
17,6,5,46,0.56645,0.2958,0.011699999999999378,-4.2935,-4.2818000000000005,0.2958,0.9932865843717249,2.5333576754686082
17,6,5,47,0.9118,0.0776,0.07019999999999982,-3.9394,-3.8692,0.9118,0.9979625552114536,1.296529332107514
17,6,5,50,0.43595,0.27555,0.01750000000000007,-3.5262000000000002,-3.5087,0.0919,0.987249276841926,5.8983533334638185
17,6,5,53,0.9988,0.0004,0.18929999999999936,-4.9312,-4.7419,0.9988,0.9998900511031797,1.0001315626277072
17,6,5,54,0.987,0.012,0.08119999999999905,-4.109999999999999,-4.0288,0.987,0.9996445863746959,1.2843912388966174
17,6,5,55,0.9588,0.0378,0.09229999999999983,-4.2953,-4.203,0.9588,0.9990761204106814,1.1570196770263093
17,6,5,57,0.9962,0.0016,0.019200000000000106,-3.2316000000000003,-3.2124,0.00115,0.9940273780789702,2.84783912022168
17,6,5,59,0.99885,0.0009,0.16969999999999974,-4.4495,-4.2798,0.99885,0.999933407124396,1.0010702962761338
17,6,5,60,0.9998,0.00015,0.4594000000000005,-4.4084,-3.949,0.9998,0.9999787213047818,1.0
17,6,5,61,0.99975,0.0001,0.30210000000000026,-5.3658,-5.0637,0.99975,0.9999729667523948,1.0000000001304872
17,6,5,62,0.562,0.2687,0.017599999999999838,-4.153700000000001,-4.136100000000001,0.11165,0.988406899872403,2.414467691401553
17,6,5,63,0.99985,5e-05,0.2084999999999999,-4.8386000000000005,-4.6301000000000005,0.99985,0.9999800407142563,1.0000234317355834
17,6,5,64,0.9983,0.0014,0.1747999999999994,-5.1107,-4.9359,0.9983,0.9999201714050914,1.0008103553067127
17,6,5,65,0.99605,0.0016,0.23990000000000045,-4.3891,-4.1491999999999996,0.99605,0.9996541853682986,1.0000005883183658
17,6,5,66,0.64225,0.2586,0.03020000000000067,-3.6249000000000002,-3.5946999999999996,0.2586,0.9910415170073656,2.387787452181184
17,6,5,68,0.40635,0.27075,0.015899999999999803,-3.3550999999999997,-3.3392,0.0619,0.9880761676254063,4.658842802509512
17,6,5,70,0.9908,0.0052,0.07240000000000002,-3.1339,-3.0615,0.9908,0.9992662066434794,1.488605031387509
17,6,5,76,0.97035,0.01485,0.33699999999999974,-5.3919999999999995,-5.055,0.97035,0.9978279293397627,1.0000000000005007
17,6,5,78,0.69955,0.30015,0.009599999999999831,-4.249499999999999,-4.2399,0.30015,0.9983829462289682,1.9772746620653432
17,6,5,79,0.65,0.16905,0.04499999999999993,-4.304799999999999,-4.259799999999999,0.1187,0.9723604290559378,1.8709006393364134
17,6,5,83,0.56575,0.3675,0.14749999999999996,-3.8388,-3.6913,0.56575,0.9582312298113994,1.004798050044339
17,6,5,89,0.99875,0.0012,0.30630000000000024,-3.3996000000000004,-3.0933,0.99875,0.9998573332156725,1.0000000000688272
17,6,5,90,0.90225,0.0658,0.017900000000000027,-4.7937,-4.7758,0.0658,0.9955713019170995,1.9971049218928316
17,6,5,91,0.578,0.24475,0.01540000000000008,-3.3375,-3.3221,0.578,0.9941051670411984,2.4404033900010975
17,6,5,92,0.8213,0.17825,0.029599999999999405,-4.142799999999999,-4.1132,0.17825,0.9940852334170127,1.8087759758906012
17,6,5,93,0.71885,0.28085,0.0943000000000005,-4.3246,-4.2303,0.71885,0.9938450827822225,1.2072627012975539
17,6,5,94,0.9927,0.0037,0.19869999999999965,-4.3197,-4.121,0.9927,0.9993223858138297,1.0000800355035968
17,6,5,101,0.58625,0.41225,0.08450000000000024,-4.5006,-4.4161,0.41225,0.9889192052170821,1.1970194597272272
17,6,5,103,0.5738,0.1959,0.013599999999999834,-2.725,-2.7114000000000003,0.5738,0.9866835174311928,4.636932689094842
17,6,5,106,0.93295,0.06565,0.14170000000000016,-3.754,-3.6123,0.06565,0.964705267714438,1.0096656222216527
17,6,5,113,0.9186,0.0639,0.11969999999999992,-3.8322999999999996,-3.7125999999999997,0.9186,0.9970586684236623,1.028070736442669
17,6,5,114,0.37595,0.2811,0.06369999999999987,-3.7797,-3.716,0.2811,0.9821631253803211,1.6829480902241591
17,6,5,115,0.9929,0.0068,0.08190000000000008,-5.1212,-5.0393,0.9929,0.999862623018043,1.1878036599495432
17,6,5,116,0.9999,5e-05,0.1003999999999996,-4.4608,-4.3604,0.9999,0.999990832361908,1.0809227953876392
17,6,5,117,0.92165,0.0776,0.02740000000000009,-4.6484000000000005,-4.621,0.0776,0.9945251807073403,1.8292954260702534
17,6,5,118,0.94085,0.0374,0.023600000000000065,-4.655,-4.6314,0.94085,0.9996847314715361,3.2793726642712984
