n_nodos,atoms_w,atoms_l,seed,p_0,p_1,e_gap,e_0,e_1,succ,ar,hp
23,6,6,0,0.96545,0.02865,0.041699999999999626,-5.2223,-5.1806,0.96545,0.9995514102981446,1.8657322866167794
23,6,6,2,0.8946,0.09225,0.07149999999999945,-5.925,-5.8535,0.8946,0.9981575552742614,1.2793884196586525
23,6,6,3,0.5188,0.4665,0.031200000000000117,-4.5733,-4.5421,0.00265,0.9864767192180699,2.3164106077089164
23,6,6,4,0.99465,0.0043,0.09309999999999974,-4.3919999999999995,-4.2989,0.99465,0.9992893385701273,1.1215694593784986
23,6,6,5,0.94325,0.03115,0.03799999999999937,-6.4409,-6.402900000000001,0.0093,0.9930828556568182,1.7031868523798106
23,6,6,6,0.99725,0.0011,0.1189,-5.1235,-5.0046,0.99725,0.9998845486483847,1.035974769119168
23,6,6,7,0.99975,0.0001,0.08869999999999933,-4.9787,-4.890000000000001,0.99975,0.9999885361640587,1.237446830407892
23,6,6,8,0.5589,0.43615,0.07089999999999996,-4.7505999999999995,-4.6796999999999995,0.5589,0.9932579937271081,1.2859217234133857
23,6,6,9,0.5123,0.48555,0.06770000000000032,-6.163600000000001,-6.0959,0.5123,0.9944672301901486,1.318792908016692
23,6,6,11,0.99455,0.0022,0.07829999999999959,-5.0202,-4.9419,0.99455,0.9995775148400462,1.254357090912416
23,6,6,12,0.99185,0.00485,0.11750000000000149,-5.7727,-5.655199999999999,0.99185,0.9997656703102535,1.0377982887482435
23,6,6,13,0.99595,0.0034,0.2614000000000001,-5.4303,-5.1689,0.99595,0.9997335856214206,1.0000000396334625
23,6,6,14,0.52525,0.4657,0.050700000000000855,-5.0849,-5.034199999999999,0.52525,0.9947613709217487,2.1149183755412624
23,6,6,15,0.9985,0.00135,0.0613999999999999,-4.545,-4.4836,0.9985,0.9999471485148514,1.3942084269742296
23,6,6,16,0.9879,0.0121,0.059200000000000585,-6.479100000000001,-6.4199,0.9879,0.9998894414347671,1.4172130875725921
23,6,6,17,0.50015,0.33495,0.12460000000000004,-5.5547,-5.4301,0.33495,0.9177441166939708,1.020807295139956
23,6,6,18,0.89195,0.0645,0.1260999999999992,-5.2863,-5.160200000000001,0.89195,0.9963875385430263,1.0189468377920474
23,6,6,19,0.68855,0.3075,0.060300000000000686,-5.3502,-5.289899999999999,0.3075,0.989863104183021,1.6462356416423585
23,6,6,20,0.9893,0.00435,0.04190000000000005,-4.6055,-4.5636,0.00055,0.9907171447182713,2.320850504386019
23,6,6,22,0.88485,0.0646,0.037499999999999645,-4.967499999999999,-4.93,0.0646,0.9910999476597887,2.919089926405442
23,6,6,23,0.99105,0.0061,0.08099999999999952,-5.8908,-5.8098,0.99105,0.9997452731377742,1.1958296796830787
23,6,6,24,0.837,0.15465,0.02259999999999973,-5.7522,-5.7296000000000005,0.15465,0.9960641467612392,1.8923763802579874
23,6,6,25,0.99145,0.00555,0.11599999999999966,-5.9017,-5.7857,0.99145,0.9990242752088379,1.041275196816894
23,6,6,26,0.62445,0.18945,0.051000000000000156,-5.1014,-5.0504,0.0787,0.9817171550946799,2.028460951541464
23,6,6,27,0.85195,0.07735,0.014800000000001035,-5.813000000000001,-5.7982,0.85195,0.9965155195252021,2.9643791821522
23,6,6,29,0.5755,0.413,0.02150000000000052,-5.582700000000001,-5.5612,0.413,0.9975149873717017,2.311587588621706
23,6,6,31,0.7149,0.28505,0.050200000000000244,-5.4534,-5.4032,0.7149,0.9973684655444308,1.5333529767424297
23,6,6,32,0.89415,0.104,0.10280000000000022,-5.2694,-5.1666,0.89415,0.9978967747751168,1.0790476142374852
23,6,6,33,0.991,0.0086,0.1227999999999998,-4.7617,-4.6389000000000005,0.991,0.9996833410336643,1.0269407291162072
23,6,6,34,0.54765,0.44915,0.012599999999999945,-5.9938,-5.9812,0.54765,0.9989643514965465,2.3213270766467677
23,6,6,37,0.99585,0.002,0.2871000000000006,-5.2644,-4.9773,0.99585,0.9996244776232809,1.0000000011777253
23,6,6,38,0.4721,0.38195,0.026500000000000412,-5.3029,-5.2764,0.4721,0.9929940400535556,1.8692990007796577
23,6,6,39,0.99735,0.0023,0.12490000000000023,-5.910900000000001,-5.7860000000000005,0.99735,0.9998984486288045,1.020428230696769
23,6,6,40,0.9911,0.00655,0.015300000000000757,-5.2414000000000005,-5.2261,0.9911,0.9997787652154002,1.9460908276746223
23,6,6,41,0.62305,0.3137,0.054999999999999716,-6.0009,-5.9459,0.3137,0.9929254861770734,1.605773691575969
23,6,6,42,0.99835,0.0016,0.1070000000000002,-5.4524,-5.3454,0.99835,0.9999651263663709,1.057517083019366
23,6,6,43,0.8919,0.1024,0.12459999999999916,-5.6983,-5.5737000000000005,0.8919,0.9971910640015443,1.0208084486396616
23,6,6,44,0.9911,0.00775,0.051400000000001,-5.2035,-5.152099999999999,0.9911,0.9998968982415684,2.3011168825235413
23,6,6,45,0.81255,0.1781,0.00140000000000029,-5.205400000000001,-5.204000000000001,0.00765,0.9876953394551813,2.3714203647122925
23,6,6,47,0.95745,0.03095,0.17459999999999898,-5.546799999999999,-5.3722,0.95745,0.9979543151005986,1.0005009878655022
23,6,6,48,0.73095,0.269,0.0721999999999996,-5.3591,-5.2869,0.73095,0.9945069731857963,1.325956321412268
23,6,6,49,0.90125,0.09535,0.014699999999999491,-5.981099999999999,-5.966399999999999,0.09535,0.9970600917891357,2.8656385086797123
23,6,6,50,0.9868,0.01295,0.03330000000000055,-6.0657,-6.032399999999999,0.9868,0.9999084738777059,1.7723234838863615
23,6,6,54,0.99925,0.00045,0.21179999999999932,-5.810999999999999,-5.5992,0.99925,0.9999394269488902,1.000015404923351
23,6,6,55,0.9928,0.0053,0.20940000000000047,-5.7964,-5.587,0.9928,0.999703421951556,1.0000191466053034
23,6,6,56,0.9925,0.0041,0.15219999999999967,-6.3834,-6.2312,0.9925,0.9992003720587775,1.0033957892774974
23,6,6,58,0.52745,0.47125,0.08679999999999932,-6.0023,-5.915500000000001,0.47125,0.9922741740666079,1.1681607008339459
23,6,6,59,0.91955,0.05845,0.00420000000000087,-5.764200000000001,-5.76,0.91955,0.9958210063842338,2.220308535933265
23,6,6,60,0.8572,0.0977,0.00909999999999922,-6.4243999999999994,-6.4153,0.00035,0.9936063842537824,4.5268212860297234
23,6,6,61,0.51465,0.47975,0.09839999999999982,-5.3146,-5.216200000000001,0.51465,0.9908149221013813,1.09233050410526
23,6,6,62,0.9981,0.00145,0.09169999999999945,-5.0596,-4.9679,0.9981,0.9999270317811685,1.173900700639966
23,6,6,66,0.9804,0.01955,0.10440000000000005,-5.2661,-5.1617,0.9804,0.9991943791420596,1.0770412853408962
23,6,6,67,0.9175,0.05645,0.33199999999999896,-5.808999999999999,-5.477,0.9175,0.9946358400757445,1.0000000000018339
23,6,6,68,0.4588,0.28325,0.05480000000000107,-5.191300000000001,-5.1365,0.25785,0.988538225492651,1.591479284928969
23,6,6,70,0.48725,0.2705,0.013600000000000279,-4.2692000000000005,-4.2556,0.01515,0.9870159139885689,4.2810726724718995
23,6,6,71,0.48635,0.46785,0.02970000000000006,-5.348800000000001,-5.319100000000001,0.46785,0.993240994241699,2.870514567217172
23,6,6,72,0.69635,0.2081,0.015500000000000291,-5.431500000000001,-5.416,0.01345,0.9952455601583357,5.550646435321896
23,6,6,75,0.94955,0.03545,0.0016999999999995907,-6.2638,-6.2621,0.03545,0.9996168970912226,3.9313590646518772
23,6,6,76,0.95535,0.03655,0.07650000000000023,-6.4981,-6.4216,0.95535,0.9943426863236946,1.2331322466541346
23,6,6,77,0.9861,0.0132,0.30160000000000053,-6.8001000000000005,-6.4985,0.9861,0.9993759510889543,1.0000000001408098
23,6,6,78,0.99995,5e-05,0.10550000000000015,-5.2316,-5.1261,0.99995,0.9999974051915284,1.0622730481998697
23,6,6,79,0.8004,0.1733,0.09149999999999991,-5.9078,-5.8163,0.8004,0.9955634517079115,1.306403391087473
23,6,6,82,0.58165,0.4183,0.0007999999999999119,-5.3347,-5.3339,0.4183,0.9999110128029691,2.0374401534044275
23,6,6,84,0.99955,0.00035,0.3169999999999993,-5.4754,-5.1584,0.99955,0.9999673576359718,1.0000000000134956
23,6,6,85,0.9989,0.0009,0.06099999999999994,-5.4815000000000005,-5.4205000000000005,0.9989,0.9999411766852138,1.4437785056987944
23,6,6,87,0.8017,0.10005,0.034399999999999764,-4.865500000000001,-4.831100000000001,0.8017,0.9906230079128557,1.9045100810543298
23,6,6,89,0.63485,0.34245,0.040300000000000225,-4.4309,-4.3906,0.34245,0.9932441230901171,2.4824763838442725
23,6,6,90,0.79755,0.1996,0.024399999999999977,-5.7079,-5.6835,0.79755,0.9928702911753886,1.862081546736939
23,6,6,91,0.9885,0.0089,0.040599999999999525,-4.4940999999999995,-4.4535,0.0089,0.9909819797067267,2.7730889623046115
23,6,6,93,0.3577,0.23915,0.0033999999999991815,-4.9467,-4.943300000000001,0.0005,0.9782011583479896,3.73109774127808
23,6,6,94,0.99295,0.0057,0.1435000000000013,-5.5051000000000005,-5.361599999999999,0.99295,0.9997135656028048,1.0058842391667495
23,6,6,95,0.99375,0.00255,0.1257999999999999,-4.4254,-4.2996,0.99375,0.9996263953540924,1.0261412414936928
23,6,6,97,0.96555,0.02835,0.1543000000000001,-5.47,-5.3157,0.96555,0.997333810786106,1.0032338909425742
23,6,6,98,0.65995,0.2675,0.031800000000000495,-4.831300000000001,-4.7995,0.02445,0.9855863225218884,1.8374814551054353
23,6,6,100,0.8047,0.16275,0.05989999999999984,-4.2066,-4.1467,0.16275,0.9864647708363045,1.4086259677896058
23,6,6,102,0.63405,0.31315,0.022500000000000853,-5.4847,-5.462199999999999,0.0118,0.9877776469086732,1.8950835680326117
23,6,6,103,0.87965,0.1061,0.005700000000000038,-4.5868,-4.5811,0.87965,0.9989549696956485,3.4979368435438465
23,6,6,104,0.9984,0.0015,0.16940000000000044,-4.9148000000000005,-4.7454,0.9984,0.9999443985513143,1.0008835464127777
23,6,6,106,0.63795,0.3562,0.04600000000000026,-5.5485,-5.5024999999999995,0.3562,0.9945017301973507,1.5947902813771238
23,6,6,108,0.6434,0.3439,0.3282000000000007,-5.493,-5.1648,0.6434,0.9736176415437829,1.0000000000021485
23,6,6,110,0.95065,0.03805,0.031500000000000306,-6.0392,-6.0077,0.95065,0.999174670486157,1.780981193741307
23,6,6,111,0.40005,0.3385,0.08000000000000007,-5.8749,-5.7949,0.40005,0.9897798192309657,1.6232023904923334
23,6,6,113,0.66455,0.29705,0.11539999999999973,-3.9587999999999997,-3.8434,0.66455,0.9891276396887949,1.0401530091425806
23,6,6,114,0.899,0.09605,0.0045000000000001705,-4.3749,-4.3704,0.899,0.9995069955884703,3.128987783379389
23,6,6,115,0.7464,0.2487,0.04960000000000164,-5.720700000000001,-5.671099999999999,0.2487,0.9933259426293984,1.544729977230271
23,6,6,116,0.48675,0.40745,0.05790000000000006,-5.0873,-5.0294,0.48675,0.9924986092819374,1.532149071222896
23,6,6,117,0.4819,0.46355,0.05910000000000082,-5.985100000000001,-5.926,0.02115,0.9836123673789909,1.651508802413518
23,6,6,118,0.3635,0.2658,0.023600000000000065,-5.804900000000001,-5.781300000000001,0.03145,0.9867743862943376,3.133368717502852
23,6,6,119,0.9884,0.0086,0.026499999999998636,-5.567399999999999,-5.540900000000001,0.9884,0.9998192091461007,2.342745376073914
23,6,6,120,0.9946,0.0041,0.04329999999999945,-5.7732,-5.729900000000001,0.9946,0.9998870730270907,1.808072996804519
23,6,6,122,0.9973,0.0027,0.1828000000000003,-5.405,-5.2222,0.9973,0.9999027900092508,1.0003190098615957
23,6,6,123,0.75165,0.23125,0.0027999999999996916,-4.4883,-4.4855,0.01275,0.9967202281487424,3.01182943615085
23,6,6,124,0.9861,0.00855,0.028500000000000192,-5.2621,-5.2336,0.00525,0.9943350972045382,1.8176216798979705
23,6,6,126,0.9795,0.01235,0.024799999999999933,-4.4599,-4.4351,5e-05,0.9938567389403351,1.936588813184094
23,6,6,127,0.8633,0.1363,0.0045000000000001705,-6.2146,-6.2101,0.8633,0.9998610924275094,2.012010661109994
