n_nodos,atoms_w,atoms_l,seed,p_0,p_1,e_gap,e_0,e_1,succ,ar
7,4,3,1202,0.99775,0.00195,0.14949999999999974,-2.3110999999999997,-2.1616,0.99775,0.9996856778157588
7,4,3,1203,0.5314,0.4686,0.008199999999999985,-1.9757,-1.9675,0.5314,0.9980551095814143
7,4,3,1204,0.98545,0.01395,0.062100000000000044,-1.658,-1.5958999999999999,0.98545,0.9994271803377563
7,4,3,1206,0.9999,5e-05,0.27059999999999995,-1.6042999999999998,-1.3336999999999999,0.9999,0.9999666832886619
7,4,3,1207,0.52025,0.3033,0.01220000000000021,-1.1947,-1.1824999999999999,0.0001,0.9390254499037416
7,4,3,1208,0.9992,0.00045,0.07850000000000001,-2.8353,-2.7568,0.9992,0.9999167671851302
7,4,3,1210,0.99845,0.00065,0.08520000000000016,-1.6280000000000001,-1.5428,0.99845,0.999840552825553
7,4,3,1214,0.9027,0.09725,0.018999999999999906,-1.4608,-1.4418000000000002,0.09725,0.9882378867743703
7,4,3,1215,0.8927,0.1049,0.09399999999999986,-1.5024,-1.4084,0.8927,0.9931611954206602
7,4,3,1216,0.9967,0.00285,0.3769999999999998,-2.1351,-1.7581000000000002,0.9967,0.9993295723853685
7,4,3,1217,0.9998,0.0001,0.13470000000000004,-1.1947,-1.06,0.9998,0.9999733573281996
7,4,3,1218,0.8151,0.1848,0.042200000000000015,-1.7503,-1.7081,0.1848,0.9803137062217907
7,4,3,1220,0.99325,0.005,0.01869999999999994,-1.6566,-1.6379000000000001,0.99325,0.9997921344923338
7,4,3,1222,0.9998,0.0001,0.5670999999999999,-2.4966,-1.9295,0.9998,0.99993626732356
7,4,3,1223,0.9994,0.0006,0.024499999999999744,-1.8527999999999998,-1.8283,0.9994,0.999992066062176
7,4,3,1224,0.84435,0.1556,0.03259999999999996,-1.7183,-1.6857,0.1556,0.9839676598964092
7,4,3,1225,0.9999,0.0001,0.2421000000000002,-2.341,-2.0989,0.9999,0.9999896582656985
7,4,3,1226,0.66665,0.33285,0.06119999999999992,-1.8178,-1.7566000000000002,0.66665,0.9887460061612939
7,4,3,1227,0.99975,0.0002,0.34150000000000014,-1.2835,-0.942,0.99975,0.9999288780677833
7,4,3,1229,1.0,0.0,0.1604000000000001,-2.0177,-1.8573,1.0,1.0
7,4,3,1230,0.9316,0.0556,0.060900000000000176,-1.3852,-1.3242999999999998,0.9316,0.994229288189431
7,4,3,1231,1.0,0.0,0.4687000000000001,-1.9413,-1.4726,1.0,1.0
7,4,3,1232,1.0,0.0,0.17789999999999995,-1.899,-1.7211,1.0,1.0
7,4,3,1234,1.0,0.0,0.4716,-2.1046,-1.633,1.0,1.0
7,4,3,1235,0.9965,0.00285,0.22379999999999978,-1.8971999999999998,-1.6734,0.9965,0.9994268659076534
7,4,3,1236,0.97175,0.01655,0.013700000000000045,-1.7433,-1.7296,0.97175,0.9988743532381118
7,4,3,1237,0.9996,0.0003,0.3275000000000001,-2.4931,-2.1656,0.9996,0.999863066062332
7,4,3,1238,0.99995,5e-05,0.20140000000000002,-2.1461,-1.9447,0.99995,0.9999939914263083
7,4,3,1239,0.9999,0.0001,0.45389999999999997,-2.2335,-1.7795999999999998,0.9999,0.9999667338258339
7,4,3,1240,0.8819,0.11705,0.02980000000000005,-1.3462,-1.3164,0.11705,0.9803613170405586
7,4,3,1241,0.5272,0.3568,0.041100000000000136,-1.2705000000000002,-1.2294,0.5272,0.9687256985438802
7,4,3,1242,0.94005,0.058,0.15849999999999964,-2.6148,-2.4563,0.94005,0.9963394236652898
7,4,3,1243,0.9939,0.0042,0.7111000000000001,-2.7295,-2.0183999999999997,0.9939,0.9982830848140685
7,4,3,1246,0.96665,0.0224,0.14439999999999986,-1.8624999999999998,-1.7181,0.96665,0.9970450872483222
7,4,3,1247,0.9994,0.0005,0.22420000000000018,-1.5028000000000001,-1.2786,0.9994,0.9998843891402714
7,4,3,1249,0.9838,0.0159,0.3105000000000002,-2.0737,-1.7631999999999999,0.9838,0.9975577397887834
7,4,3,1250,0.9995,0.00025,0.33320000000000016,-2.402,-2.0688,0.9995,0.9998490799333889
