seed,AR_max,succ,omega,deltag,deltal
412,1.0,1.0,0.99999896,0.37475261,1.0
413,0.9999918613567812,0.99975,0.94846588647126,0.4891163549958079,1.0
416,0.9969005611144895,0.76165,0.8039990433803657,0.3155285508304703,1.0
419,1.0,1.0,0.9999947457316696,0.3738787264313588,0.996409984407004
424,0.9962922506073488,0.92915,0.8797171738625745,0.3781877705542772,0.9999908291209404
430,1.0,1.0,0.99999896,0.4310388152667099,0.9999961570458092
431,0.9985468273899212,0.6883,0.9999285103749403,0.4201528073281678,1.0
432,0.9660674114853196,0.17435,1.0,0.4143475512492039,1.0
434,0.9983176436867556,0.9385,0.8759066905006943,0.3697113720454124,0.9999733511464612
435,1.0,1.0,1.0,0.3787210744195403,0.9985538240276092
436,0.9999926674169948,0.99995,0.9999981623980674,0.3541553863231834,0.9524587516354472
437,0.9840069317290088,0.4177,0.9982918792550222,0.3552835077052203,1.0
438,1.0,1.0,0.99999896,0.37475261,1.0
439,1.0,1.0,0.99999896,0.37475261,1.0
442,0.9793568157033806,0.21355,1.0,0.2953520095971885,1.0
446,0.9999969588458144,0.9999,0.9828639737864142,0.3607527077957099,1.0
447,0.9999801436497682,0.99975,0.8729573560470185,0.342773285177902,0.9960938207342716
449,0.9999082405922852,0.99925,0.9952010541394046,0.9944132828499844,1.0
450,0.986121366765616,0.4927,0.9967792485903602,0.3357429388175016,1.0
455,0.9894123801084236,0.7699,0.9329212641283912,0.2886061993294153,0.9999987322415236
456,0.9844193413486668,0.8387,0.6997967081254907,0.3389576841926558,1.0
457,1.0,1.0,0.9999945195082158,0.58861653489039,0.9999667120377662
458,1.0,1.0,1.0,0.4344335050445224,1.0
459,0.9999780286865814,0.99945,0.9813823264537632,0.3596694121080624,1.0
461,1.0000000000000002,1.0,0.99999896,0.37475261,1.0
466,0.9999993342374552,0.9998,0.899740908405055,0.5070334675964908,0.9926024964687712
469,0.9834695758372868,0.3922,0.9976333878339676,0.3721128617539712,1.0
470,0.9999740693151826,0.9998,0.8151198819499395,0.3749621546992338,0.999605290462611
471,0.9795272859245931,0.25935,1.0,0.3865667585997419,1.0
472,0.9924459902866618,0.19935,0.9999999999999998,0.2791797457816677,0.9563894588367642
473,0.994616593432007,0.82345,0.6402532701210918,0.4224984806486919,1.0
476,0.9856363921077358,0.09595,0.8378011453772967,0.4879911137476517,1.0
477,1.0,1.0,1.0,0.3661492983186128,0.9541595652236324
481,0.9773914372232684,0.46435,0.8738623753061355,0.3240862403560092,0.9999999999999996
483,0.9770000290212582,0.0,0.5233698013301971,0.3733320505905887,1.0
484,0.9995300271526292,0.99435,0.84614056170357,0.3988386406949509,0.9999999999999998
486,1.0,1.0,0.99999896,0.5796096267110474,0.999977613191366
488,1.0,1.0,0.99999896,0.5892392601153154,0.9998616833597236
491,0.9971673796498908,0.96765,0.7518188363229087,0.5222006565777803,1.0
494,1.0,1.0,0.99999896,0.37475261,1.0
495,1.0,1.0,0.99999896,0.37475261,1.0
496,0.9999961688003794,0.99995,0.99999896,0.37475261,0.7500000027509072
498,0.980089983968774,0.441,1.0,0.534488089155184,1.0
499,0.9876493454718556,0.6996,0.8748287060231471,0.3709913570943534,1.0
500,0.999938272694086,0.9825,0.9180066015088116,0.5020154337158707,1.0
501,0.9979291280522202,0.98285,0.7148270504580178,0.2258994512330887,1.0
507,0.999943540729635,0.9992,0.8233713132839848,0.4205859725554073,1.0
508,0.9999134440174444,0.99845,0.8795888799621799,0.3806045227133131,1.0
509,0.9994056160233392,0.98965,0.8121606710533441,0.3629484833539517,1.0
510,1.0,1.0,0.99999896,0.37475261,1.0
511,0.9746350249781937,0.64175,0.8429589392199697,0.3710824160320245,1.0
513,1.0,1.0,1.0,0.7107335413798248,0.98928872892464
515,0.992874165226601,0.84495,0.6528704106126686,0.4688822521893355,1.0
518,1.0,1.0,0.99999896,0.37475261,1.0
520,0.9999980653203692,0.9998,0.9817711727856572,0.4070668467251964,1.0
522,1.0,1.0,0.99999896,0.37475261,1.0
524,0.9999984346224678,0.99995,1.0,0.7496562434014995,1.0
526,0.9999860082079346,0.9999,0.8814605139418905,0.2943381850646223,1.0
527,0.9994793193438432,0.9599,0.8952347527764233,0.7904974787636758,0.9999801405855876
528,0.9916987773058252,0.8401,0.8446837602171889,0.240072303352781,0.9999897150035508
531,1.0,1.0,0.99999896,0.6064896503858823,0.9996507906019352
532,1.0,1.0,0.8770201840124963,0.3897842395898216,1.0
533,1.0,1.0,0.99999896,0.37475261,1.0
534,1.0,1.0,1.0,0.4196490718616842,0.9779568999987086
535,0.9989079965307892,0.98465,0.9844845992268376,0.3796637322519862,1.0
536,0.9998317632775046,0.99745,1.0,0.4335877840611267,0.9999999999999998
539,0.9953984970238094,0.3378,0.9992729416946958,0.9941097274052502,0.9999429577703506
540,1.0,1.0,0.99995024591807,0.5388396685750365,1.0
544,0.9967495846261634,0.9551,1.0,0.3766798862947545,0.9122528930351628
547,0.9976549368150596,0.013,0.9942284958991174,0.4228255594806238,1.0
548,1.0,1.0,0.8702128242004064,0.3723620616828034,1.0
549,0.9999350099221492,0.99965,1.0,0.8167950658545435,0.9277802812237204
551,1.0,1.0,1.0,0.6317708603152519,1.0
555,0.9724657611225644,0.4053,1.0,0.4121710118070936,0.9999999999999998
558,0.9999513383326948,0.9993,0.9951369298971572,0.3592781419450484,1.0
559,0.9942829810991884,0.9002,0.8362403463516919,0.3650502761400228,1.0
563,0.9966883163085596,0.9336,0.7791203399912812,0.2704479435417857,0.9999274682408074
565,1.0,1.0,0.99999896,0.37475261,1.0
566,0.9887347497957024,0.09865,1.0,0.3736228575822194,1.0
568,1.0,1.0,0.99999896,0.37475261,1.0
569,0.999811829923678,0.9936,0.9556347439199678,0.4455204050371213,1.0
575,1.0,1.0,0.9996864217471332,0.2747152996340973,1.0
576,0.999993447327514,0.9998,0.9999999999999996,0.3881569053674826,0.971338575585305
577,1.0,1.0,0.8749989870808463,0.37475261,1.0
578,1.0,1.0,1.0,0.9782040111681268,0.9280542517691222
581,1.0,1.0,0.99999896,0.37475261,1.0
582,1.0,1.0,1.0,0.37475261,1.0
584,1.0,1.0,0.99999896,0.37475261,1.0
585,0.973495272815325,0.35035,0.9546975896650564,0.535394812977806,1.0
586,0.9999540970816464,0.99955,0.8137469987311042,0.329110598021667,1.0
588,0.9999763508601892,0.99915,0.8286814245132248,0.4851638874303088,1.0
589,0.9872689521945188,0.3865,0.9823305468531792,0.4508184449983538,0.9999509723233938
591,1.0,1.0,0.99999896,0.37475261,1.0
595,1.0,1.0,1.0,0.282722856474372,1.0
597,0.9999736871473742,0.9996,0.7377860961184503,0.4829515656747965,1.0
598,0.9969900104652272,0.0028,1.0,0.3277241044860544,1.0
599,0.998129269190326,0.9553,0.8842173919756035,0.3627789905286953,1.0
601,0.9999982594280978,0.9998,0.999473354065089,0.3593136967263047,0.8010932106254993
602,0.9999936255883854,0.9999,0.8092587871489455,0.3002464464747353,0.9950038921295332
610,1.0,1.0,0.99999896,0.37475261,1.0
612,0.995806818604651,0.65435,0.9951089854834952,0.3110850973073458,1.0
614,0.9999842044581092,0.99995,1.0,0.4188674836006688,1.0
616,0.999674203136858,0.9974,0.9984684133862533,0.2518708550128106,0.9997102865666496
617,1.0,1.0,0.937329110091664,0.3299166761853533,1.0
618,1.0,1.0,0.8633331209447765,0.5504238918031624,0.962477384414708
621,0.9999970793201132,0.99995,1.0,0.4130750915691841,1.0
622,0.999105239571726,0.98645,0.9674692091100492,0.3777083660207271,1.0
625,0.9999815626539084,0.99995,0.99999896,0.37475261,0.75
627,0.9999154939567612,0.99735,0.8314602554264245,0.4247119753737093,1.0
628,0.9725783479299362,0.343,1.0,0.3873083622519314,1.0
629,0.99990963193658,0.9981,0.9863237342671592,0.370748940111085,1.0
630,0.999850054347826,0.9981,0.9782816012381222,0.9977437530952123,1.0
631,0.9987965643951076,0.89585,0.8596592969265705,0.2580150001256314,1.0
632,0.9997515944419454,0.9358,0.997452159108331,0.4546086715820993,1.0
635,0.9998959118598898,0.00335,1.0,0.3743633437682391,1.0
636,1.0,1.0,0.99999896,0.37475261,1.0
640,1.0,1.0,0.99999896,0.37475261,1.0
641,1.0,1.0,0.99999896,0.4192356347830103,0.9997391975466042
642,1.0,1.0,0.99999896,0.5730000709112081,0.9999847550956248
644,1.0,1.0,0.99999896,0.62475261,1.0
645,0.9726907384803172,0.2209,0.9999995766906512,0.3872977233073799,1.0
647,0.9995537690114068,0.99675,0.7969488468080047,0.4359392864068965,1.0
648,0.9999640334163858,0.9998,1.0,0.2564688015501527,0.9188552507430988
650,0.9925385961831168,0.66295,0.8511943284847919,0.3871314686319868,0.9999675187600752
651,0.999971102515382,0.99815,0.7628534917186764,0.4450640120676104,0.9996988075023444
655,1.0,1.0,1.0,1.0,1.0
658,0.9999962751198184,0.99995,0.8469342881713952,0.2417427015815558,0.9999999999999998
661,1.0,1.0,0.99999896,0.37475261,1.0
662,0.9967751155300376,0.92255,0.8145481644048115,0.2574889299460807,1.0
664,1.0,1.0,0.9761701158443672,0.3025785598972229,0.99924983220827
666,1.0,1.0,0.8749990004910109,0.37475261,1.0
667,0.9999819693169224,0.99945,0.9938481319069074,0.5714818885995665,1.0
668,0.9972078935211915,0.9519,0.8273390570625997,0.2949086219074001,1.0
672,1.0,1.0,0.99999896,0.37475261,1.0
673,1.0,1.0,0.999999901930428,0.37475261,0.7499998911885699
679,1.0,1.0,1.0,0.3336510911737281,1.0
681,0.9999461519507186,0.999,0.8383111006660185,0.6769434271608771,1.0
684,1.0,1.0,0.99999896,0.3747526691489097,0.75
685,0.9999895426968493,0.9999,0.99999896,0.37475261,1.0
686,1.0000000000000002,1.0,0.99999896,0.4549773167425197,0.9999567151843124
689,0.9922776017388572,0.64215,1.0,0.3608303041831263,0.9999792602108496
690,1.0,1.0,0.8526580124115418,0.4804445121015744,1.0
694,1.0,1.0,0.881855019943071,0.3684891983834095,1.0
696,1.0,1.0,0.9999975829217064,0.3747501164747221,0.9999738781888912
703,0.9999956276660572,0.99995,0.99999896,0.37475261,1.0
705,0.9999893774319064,0.9999,0.8755247926145299,0.2497895800906796,0.999955584672902
708,1.0,1.0,0.99999896,0.6056819304033039,0.9997228896051852
709,0.9874293148284244,0.74085,0.8556047741291416,0.5719162394226476,1.0
712,1.0,1.0,0.99999896,0.37475261,1.0
714,0.9976933579429734,0.94615,0.6867324787299255,0.157130116743418,0.9999367703991796
715,0.9782777149502728,0.1414,1.0,0.6190140953339255,1.0
716,0.9982011553273428,0.8443,0.9492754759333136,0.3642349413617354,1.0
722,1.0,1.0,0.8881961824796835,0.3195601739140375,0.998526216556937
723,0.9999731381659074,0.9997,1.0,0.3804324477096314,0.915760215430704
728,0.9999913703363512,0.9999,0.8102467047426894,0.4553494182518911,1.0
730,0.9866903874177178,0.37905,1.0,0.3823700168912587,1.0
732,0.9999980462937448,0.99995,1.0,0.3406387343656353,1.0
734,0.9999953416720316,0.9999,1.0,0.3992397005089004,1.0
735,0.988880899027172,0.85805,0.7358164746315687,0.375969269597639,1.0
736,0.999965761068423,0.9996,1.0,0.6236576228147949,0.6938130382475295
737,1.0,1.0,1.0,0.3882271284397123,1.0
740,0.9886510340927452,0.80395,1.0,0.3560350716789873,1.0
742,1.0,1.0,0.99999896,0.37475261,1.0
743,0.9999620415205654,0.9996,0.9987508618396568,0.3999141135657986,1.0
747,0.9818004302696948,0.38745,1.0,0.3127722667624446,0.997004760796515
749,1.0,1.0,0.9989821691794492,0.2938148997279622,0.9757420744198692
750,1.0,1.0,0.99999896,0.37475261,1.0
752,0.9819644731530076,0.34405,0.8477587223507131,0.4725698693129685,1.0
754,0.9998546895640688,0.318,0.9945234763437444,0.7019128083387856,0.9926577384163556
755,0.9998118615136876,0.99725,0.9279231179840908,0.3279690829219037,0.9999978692345504
757,1.0,1.0,1.0,0.835169595216785,0.9912792743285406
761,0.9941610748131144,0.90565,0.8356502856423902,0.379379861234273,1.0
768,0.9999849450140564,0.97675,1.0,0.3057289375326307,0.7650365577298522
772,0.9989155442955217,0.9905,0.4742867886229992,0.3289273048902738,1.0
775,0.9836434772307256,0.2768,1.0,0.5919168654988977,1.0
776,0.999957489324428,0.99985,0.674537854101495,0.6282049380326562,1.0
777,0.9997658693323814,0.5628,0.9980458021782648,0.4145334081008588,1.0
778,0.999996510775546,0.9999,0.9349226237349524,0.4086462095138279,1.0
779,1.0,1.0,1.0,0.8967820775563573,1.0
780,0.9999948141850864,0.99995,1.0,0.3993094305874385,1.0
782,0.9783358170691367,0.24055,0.9052702744241384,0.3999988092704508,0.9998948575719884
787,0.9920418122065728,0.2377,0.999757112057724,0.6243652274435899,0.9241076035157608
790,0.999994082115031,0.99995,0.8755625377720895,0.417374669630456,1.0
792,1.0000000000000002,1.0,0.9999999481488075,0.37475261,0.7499999534218794
794,0.9999962239819826,0.99985,1.0,0.5280541058765376,0.90738941108
797,0.999798354738202,0.9984,0.8239315725462715,0.2494141173813353,1.0
799,0.968373595505618,0.4006,1.0,0.3942396870072321,1.0
801,0.984368530176801,0.0576,1.0,0.3667133209796464,1.0
802,0.9999870817880928,0.99995,0.9792424307375068,1.0,0.3003919609033771
803,0.999803851347972,0.9895,0.82974754852763,0.4454990324139526,1.0
806,0.999997423450336,0.99995,0.99999896,0.37475261,1.0
808,0.9999969172297296,0.99995,1.0,0.3772971870054631,1.0
809,0.999873651999578,0.9925,0.9849996369035452,0.5430173796339639,1.0
810,0.9995595125414104,0.99475,0.8441643650238575,0.3780018693612782,1.0
814,1.0,1.0,1.0,0.1856249474104626,1.0
815,1.0,1.0,0.9999991771140232,0.3525008241260594,0.752396424329611
817,0.9999936853336784,0.99995,1.0,0.3172647850709504,0.8049105049884442
820,0.9954960619423652,0.9333,0.8913727752812516,0.3379785045836518,1.0
822,1.0,1.0,1.0,1.0,1.0
823,1.0,1.0,1.0,0.4071838053826437,1.0
825,1.0,1.0,0.9999526457539214,0.9408307256328944,0.999998970122838
826,0.999974858022398,0.9997,0.9839329254925616,0.3746543048173001,1.0
830,1.0,1.0,0.999999961250338,0.6636352095456943,1.0
831,0.984839626652238,0.2966,0.9990234375000951,0.4416541935179978,0.9999999891549136
832,0.999991046301864,0.9999,1.0,0.4093555050068949,1.0
833,0.980736036662835,0.20595,1.0,0.3866121257958205,1.0
0,0.998005545069632,0.94755,0.7389267022325718,0.4550413470987001,1.0
3,1.0,1.0,0.99999896,0.37475261,1.0
6,1.0,1.0,0.999990399605722,0.3747525975242864,0.999974357051558
7,0.9998726083964212,0.9981,0.8070326796301072,0.2763949345175632,1.0
9,0.996075994147463,0.915,0.8310898436328694,0.4975881125363482,1.0
10,0.9982924729304924,0.2479,0.9999999999999998,0.5520890715848272,0.8513377410705565
12,1.0,1.0,0.99999896,0.3747526232249033,0.7500000396987119
