seed,AR_max,succ
211,0.99672636903806,0.28135
213,0.9999050281762294,0.99695
214,1.0,1.0
215,1.0,1.0
216,0.999992706539446,0.99995
218,1.0,1.0
219,0.9999820127847012,0.99995
221,0.9996523635413948,0.97375
222,1.0,1.0
223,1.0,1.0
224,1.0,1.0
225,1.0000000000000002,1.0
226,1.0,1.0
228,0.9872152800785324,0.3921
229,1.0,1.0
230,0.9991162188254225,0.6769
231,0.9774307894615422,0.1915
232,1.0,1.0
233,0.9999795782743012,0.99995
234,0.9899789031728666,0.5644
235,0.977899056897549,0.1504
236,1.0,1.0
237,0.9738294001713796,0.151
238,1.0,1.0
239,1.0,1.0
240,1.0,1.0
241,1.0,1.0
242,1.0,1.0
243,1.0,1.0
244,0.9864366107678728,0.79345
245,0.9999318188067088,0.99545
247,1.0,1.0
248,0.9907072758809564,0.0
249,0.999013443330934,0.9479
250,1.0,1.0
252,1.0,1.0
253,0.999993699369937,0.9999
254,0.9999950620604056,0.99995
255,0.9877325715058488,0.7979
256,1.0,1.0
257,0.9998494093443058,0.998
258,1.0,1.0
259,0.9999695669147884,0.99995
260,0.9930075030289044,0.8895
261,1.0,1.0
262,1.0,1.0
263,1.0,1.0
264,0.9999683483819944,0.9998
265,0.9991930073035926,0.80985
266,0.9999165336015592,0.9989
267,1.0,1.0
268,0.9999564314868804,0.9996
269,0.9999971928499496,0.9999
270,0.9999647909427196,0.9994
273,0.9976927626619148,0.92685
274,0.9970271295426631,0.0
277,1.0,1.0
278,0.9999494040713004,0.9989
280,0.9979014451462308,0.97595
281,0.9914782528243086,0.0169
282,1.0,1.0
283,1.0,1.0
284,0.9999645148401826,0.9997
285,1.0,1.0
286,0.9999982193693936,0.99995
287,0.9848866800956816,0.11415
288,1.0,1.0
289,0.9978850709012692,0.96765
290,0.9980091739810024,0.9687
292,1.0,1.0
293,1.0,1.0
295,1.0,1.0
297,0.9767533986671892,0.5812
299,0.996312508504228,0.95525
300,0.9951975092089108,0.0044
301,1.0,1.0
302,0.9997323855963992,0.99655
303,0.9998599851091992,0.9975
304,0.9792842586505708,0.20235
305,1.0,1.0
306,0.9992163560004602,0.9329
307,0.9999817231998148,0.99915
308,1.0,1.0
309,0.9873586043293467,0.80765
310,0.9960278553898432,0.9452
311,0.9996785952433874,0.99035
316,1.0,1.0
317,1.0,1.0
321,1.0,1.0
322,1.0,1.0
323,0.998982785543812,0.989
324,1.0,1.0
325,0.9767233207811544,0.1662
326,0.9945718356949532,0.3613
327,1.0,1.0
328,0.9983366174698792,0.9783
330,0.9949569182389936,0.3127
332,1.0,1.0
333,0.9999600992499432,0.99965
335,1.0,1.0
336,1.0,1.0
338,0.998755988303366,0.907
339,0.9999790739091716,0.99995
340,0.9990723481668066,0.986
341,0.9999791769223196,0.9999
342,1.0,1.0
343,0.950201792614856,0.33685
346,0.9563393981610476,0.3685
349,1.0,1.0
350,0.9999981181938304,0.99995
351,0.9688446657886072,0.48315
352,0.9987072989244402,0.61
353,0.9995421083677426,0.9966
354,1.0,1.0
355,1.0,1.0
356,1.0,1.0
358,0.9797551432686477,0.399
359,1.0,1.0
363,0.9997494101318528,0.9686
364,0.9999681070387338,0.9998
365,0.9989792854372695,0.90015
366,1.0,1.0
367,1.0,1.0
369,0.9999016971777271,0.99835
370,0.9999525078306148,0.9997
371,1.0,1.0
372,0.9999878929719156,0.99995
373,1.0000000000000002,1.0
374,0.96481865639709,0.22605
375,1.0,1.0
376,1.0,1.0
377,1.0,1.0
378,1.0,1.0
380,1.0,1.0
382,1.0,1.0
383,0.999990928807799,0.9999
384,0.979461898216031,0.30365
385,0.9998550706949751,0.95005
387,1.0,1.0
388,0.972075253762688,0.51185
390,1.0,1.0
391,0.9999950585687568,0.99995
392,0.983143449329653,0.6837
393,1.0,1.0
394,1.0,1.0
395,1.0,1.0
396,0.9999930505355852,0.9999
397,0.9921115248083904,0.54095
399,0.9991478177560144,0.9643
400,1.0,1.0
402,1.0,1.0
403,1.0,1.0
404,0.9999962006545308,0.9999
405,0.9949383416607188,0.03395
407,0.9999734653277756,0.99975
409,1.0,1.0
410,1.0,1.0
411,1.0,1.0
412,1.0,1.0
413,0.9999918613567812,0.99975
414,1.0,1.0
415,0.99993589892777,0.9996
416,0.9963333434684064,0.71185
417,1.0000000000000002,1.0
419,1.0,1.0
421,1.0,1.0
