seed,AR_max
628,0.9725609235668792
629,0.9999141562853908
630,0.99968726147343
631,0.9987633158598008
632,0.9997641850352376
634,1.0
635,0.9998959166190752
636,1.0
637,1.0
638,1.0
639,0.999952062365205
640,1.0
641,1.0
642,1.0
643,1.0
644,1.0
645,0.9726321457634016
647,0.9994010646387834
648,0.9999336728711712
649,1.0
650,0.9924132946961716
651,0.9998965843286282
652,1.0
654,1.0
655,1.0
658,0.9999641595896748
660,0.9999875569542958
661,1.0
662,0.9960594034448956
663,1.0
664,1.0
666,1.0
667,0.9999901650819576
668,0.996129244139046
670,1.0
672,1.0
673,1.0
674,0.9999847613290694
675,1.0
676,1.0
678,1.0
679,1.0
680,0.9999932097153302
681,0.9999922381930186
683,1.0
684,1.0
685,0.9999890795224736
686,1.0000000000000002
687,1.0
689,0.9923152333315876
690,1.0
691,1.0
693,0.9999820008478169
694,0.9999982605257955
696,1.0
698,1.0
700,1.0
701,1.0
703,1.0
704,1.0
705,0.9999628210116732
706,1.0
707,0.9999880650189268
708,1.0
709,0.9870076855673016
710,1.0
711,1.0
712,1.0
713,1.0
714,0.9933358808553971
715,0.9782925569457814
716,0.9980902599486522
717,1.0
718,1.0
719,0.9999937078856312
722,0.9999977176821736
723,0.9999328454147682
724,1.0
726,1.0
727,1.0
728,0.9999827406727028
729,1.0
730,0.9866240289432692
731,1.0
732,0.9999785092311934
734,1.0
735,0.9864261019792016
736,0.9972976430052444
737,1.0
738,1.0
740,0.9898028397156244
742,1.0
743,0.999971531140424
744,1.0
747,0.9823628193754436
748,1.0
749,0.999987229858573
750,1.0
752,0.9819052079127976
753,1.0
754,0.9998546576042956
755,0.999794
757,1.0
759,1.0
760,1.0
761,0.9932023750662192
765,1.0
767,1.0
768,0.9999813337191996
769,1.0
771,1.0
772,0.9883752696959788
775,0.9836069516182536
776,0.987223081134348
777,0.9997647447340234
778,0.9999912769388652
779,1.0
780,0.9999941170755404
781,1.0
782,0.977825281177638
784,1.0
785,1.0
786,1.0
787,0.9917009139280124
789,1.0
790,0.9999881642300622
792,1.0000000000000002
794,1.0
795,1.0
796,1.0
797,0.9995589596473896
798,1.0
799,0.9684432483347912
800,1.0
801,0.9843800938666264
802,0.990898183594529
803,0.9995507902765968
805,1.0
806,1.0
808,1.0
809,0.999958594491928
810,0.9993329761341356
813,1.0
814,1.0
815,1.0
816,1.0
817,0.9999494826694256
819,1.0
820,0.9950323325812735
821,1.0
822,1.0
823,1.0
824,1.0
825,1.0
826,0.9999958096703996
827,1.0
828,0.9999928486257678
830,0.99999696038535
831,0.9848079809847724
832,1.0
833,0.9806705336075988
835,1.0
836,0.976680542953315
837,0.9999967830701696
838,0.9932491649672052
839,0.9999652227613586
840,0.9999904567351664
841,0.9999875627318352
842,0.9987764437314908
843,1.0
844,1.0
845,0.9999886783867632
846,0.9999503821578776
847,0.9702824799102971
848,0.999361910056832
849,0.999987375323236
850,0.9988327161378124
851,0.9994712039899668
852,0.9999942534246576
853,1.0
854,0.9999666062801934
855,0.9999616535159976
856,0.9999758059803252
857,0.9850764917982836
858,0.9945217189366128
859,0.9995773115647516
861,1.0
862,1.0
864,0.9999956081642836
865,0.9999354049552364
868,0.9988903473967288
869,0.9797131789237108
871,0.9997821194565142
873,1.0
874,1.0
875,1.0
878,0.999999716877564
881,0.9999940885416666
882,1.0
883,1.0
885,1.0
886,1.0
887,0.9999838356164384
888,1.0
890,0.9999262544243182
892,1.0
893,1.0
894,0.9999421457064874
895,1.0
896,0.9944333862889762
897,0.9999975102669404
898,1.0
899,0.9999703062308236
900,1.0
902,1.0
903,1.0
904,0.9999832281616688
906,0.9999674989931534
907,0.9999928195888468
908,1.0
909,0.999081674439768
911,1.0
912,0.999866324911982
913,0.9999862623426036
914,1.0
915,1.0
916,0.9902943230073096
917,1.0
919,0.9961247028069956
920,0.9997723348887294
921,1.0
923,0.9805455731447876
924,1.0
925,0.999995113838844
926,1.0
928,0.9999967557068864
929,1.0
931,0.999981661626344
932,1.0
933,0.9999782843996494
935,0.9999983213429255
937,1.0
938,0.9960316780541132
939,1.0
940,1.0
941,0.9999955041457232
942,1.0
943,1.0
945,1.0
946,1.0
947,1.0
948,1.0
949,1.0
950,0.9908885493553782
951,0.9999968846153844
952,1.0
953,0.9998964346895076
956,0.998996523547046
957,1.0
960,0.981458450276243
961,0.999895666100976
962,0.999993529554853
963,0.9846558280913582
964,0.9860414618605498
965,1.0
967,1.0
970,1.0
971,1.0
972,1.0
973,0.9576484260948904
975,1.0
978,0.9999989091548884
981,0.9999972184531888
982,1.0
985,0.9999873565454191
986,0.9990951242895296
988,1.0
989,1.0
991,1.0
992,0.99997969837587
993,0.9992935716865295
994,1.0
995,1.0
996,1.0
997,0.9804503856591912
998,0.9999904849439776
999,0.9983893670550849
1000,0.9934970993227992
1001,1.0
1002,0.9999588273900678
1003,0.9998155476033525
1004,0.9951643984757758
1005,1.0
1006,0.984205876985468
1007,1.0
1009,0.9944885654885656
1010,1.0
1011,1.0
1013,1.0
1014,1.0
1015,1.0
1016,1.0
1017,1.0
1018,1.0
1019,0.9998099348534204
1020,1.0
1021,0.9990676478440794
1023,1.0
1024,0.9998325929752064
1025,1.0
1026,1.0
1027,1.0
1028,1.0
1031,0.9999944967760022
1032,0.9993918348427582
1033,1.0
1034,0.9913654018524052
1035,1.0
1036,0.9999976736759358
1037,0.9999842563832586
1038,1.0
1040,0.9994671439976052
1041,0.9976647852995946
1042,0.9999929569539528
1044,1.0
1045,1.0
1046,1.0
1047,0.9983705315997368
1048,1.0
1049,1.0
1050,1.0
1051,0.9999835292031812
1052,1.0000000000000002
1053,0.9835141138821452
1054,0.9998688908697312
1056,0.9972756051812006
1057,0.9999772526296192
1058,0.9303102755334576
1059,1.0
1060,0.9941423865848182
1063,0.999987528184893
1064,1.0
1065,0.9858332066135648
1066,0.9999863539247562
1067,0.9897815628496832
1068,1.0
1072,0.9999949644073042
1073,0.9999925393152054
1074,1.0
1075,0.9916321618085338
1076,0.9957566767152348
1077,1.0
1079,0.9999948425819436
1080,0.9948854898285464
1081,1.0
1083,1.0
1084,0.999376302617296
1085,0.9999334604473794
1086,1.0
1087,0.9999796048387096
1088,1.0
1089,0.9995269256794858
1091,0.9992142554498002
1092,1.0
1093,1.0
1094,1.0
1095,1.0
1096,0.9761627019014516
1097,1.0
1098,1.0
1099,1.0
1100,1.0
1101,1.0
1102,1.0
1103,1.0
1104,1.0
1105,0.999987839914323
1108,1.0
1109,0.978870694582505
1110,0.994765545311887
1111,1.0
1112,1.0
1113,1.0
1115,1.0
1116,1.0
1117,0.9999961707784848
1118,1.0
1119,0.99999159565363
1120,1.0
1121,0.9919691180545932
1122,0.9801350897510134
1123,0.9956312187073284
1124,1.0
1125,0.9941336453167564
1127,1.0
1128,0.99950567540449
1129,0.9991466920549584
1130,0.9985867093326704
1131,1.0
1132,0.9902248371817642
1135,1.0
1136,1.0
1138,1.0
1140,1.0
1142,1.0
1143,1.0
1145,1.0
1146,0.999881984247198
1147,0.9986986799072366
1148,0.9998078747628084
1149,1.0
1150,1.0
1151,0.9999590703851262
1152,1.0
1153,1.0
1154,1.0
1155,1.0
1156,0.9999757958375688
1158,1.0
1159,1.0
1160,0.9999460247666904
1161,1.0
1162,0.9999476109478892
1164,1.0
1166,0.996606531822675
1167,0.9971392417016856
1168,0.9965418145688152
1169,1.0
1171,1.0000000000000002
1172,1.0
1173,1.0
1174,0.9992209480425168
1175,0.9995038411458332
1176,1.0000000000000002
1177,1.0
1178,0.9953741866792856
1180,0.9993250271562024
1181,1.0
1183,0.9980636588596123
1185,1.0
1186,1.0
1187,0.999999104644656
1188,0.9986638973692756
1189,1.0
1190,0.9999494694767442
1191,1.0
1192,0.9996521090934783
1193,0.9999921794871794
1194,1.0
1195,0.9999575309142508
1200,0.9891616581809768
1201,1.0
1202,1.0
1203,0.9983539403755632
1204,0.999993995778046
1206,1.0
1207,0.9572123587511508
1208,1.0
1210,1.0
1214,0.989733912924425
1215,0.9999443623535674
1216,0.9999770806987962
1217,1.0
1218,0.9829537679254986
1220,0.999994838826512
1222,1.0
1223,0.9999980165155442
1224,0.9873853576209044
1225,1.0
1226,0.9958786060072616
1227,0.9999866965329178
1229,1.0
1230,0.9995546599768989
1231,1.0
1232,1.0
1234,1.0
1235,0.9999831646637148
1236,0.9999347731314172
1237,1.0
1238,1.0
1239,1.0
1240,0.9999334237111872
1241,0.9882733648170012
1242,0.9998809029371272
1243,1.0
1246,1.0000000000000002
1247,1.0
1249,1.0
1250,1.0
1251,0.9969029411764704
1252,0.9986605028386052
1253,1.0
1255,1.0
1256,0.9999837142857144
1257,1.0
1259,0.9999951847221624
1260,0.9999917620278084
1261,1.0
1262,0.9989634592101472
1263,0.9999954339885196
308,1.0
309,0.9873586043293467
310,0.9960278553898432
311,0.9996785952433874
316,1.0
317,1.0
321,1.0
322,1.0
323,0.998982785543812
324,1.0
325,0.9767233207811544
326,0.9945718356949532
327,1.0
328,0.9983366174698792
330,0.9949569182389936
332,1.0
333,0.9999600992499432
335,1.0
336,1.0
338,0.998755988303366
339,0.9999790739091716
340,0.9990723481668066
341,0.9999791769223196
342,1.0
343,0.950201792614856
346,0.9563393981610476
349,1.0
350,0.9999981181938304
351,0.9688446657886072
352,0.9987072989244402
353,0.9995421083677426
354,1.0
355,1.0
356,1.0
358,0.9797551432686477
359,1.0
363,0.9997494101318528
364,0.9999681070387338
365,0.9989792854372695
366,1.0
367,1.0
369,0.9999016971777271
370,0.9999525078306148
371,1.0
372,0.9999878929719156
373,1.0000000000000002
374,0.96481865639709
375,1.0
376,1.0
377,1.0
378,1.0
380,1.0
382,1.0
383,0.999990928807799
384,0.979461898216031
385,0.9998550706949751
387,1.0
388,0.972075253762688
390,1.0
391,0.9999950585687568
392,0.983143449329653
393,1.0
394,1.0
395,1.0
396,0.9999930505355852
397,0.9921115248083904
399,0.9991478177560144
400,1.0
402,1.0
403,1.0
404,0.9999962006545308
405,0.9949383416607188
407,0.9999734653277756
409,1.0
410,1.0
411,1.0
412,1.0
413,0.9999918613567812
414,1.0
415,0.99993589892777
416,0.9963333434684064
417,1.0000000000000002
419,1.0
421,1.0
422,0.9999727052824268
424,0.9958049688733678
425,0.9998958116783858
426,1.0
428,1.0
429,1.0
430,1.0
431,0.998834017662816
432,0.9660773567933216
433,1.0
434,0.9981726534071084
435,1.0
436,0.9998973438379288
