n_nodos,atoms_w,atoms_l,seed,p_0,p_1,e_gap,e_0,e_1,succ,ar
7,4,3,354,0.94755,0.0521,0.0504,-1.8276000000000001,-1.7772000000000001,0.94755,0.9985277440358941
7,4,3,355,0.99995,5e-05,0.29699999999999993,-1.8128,-1.5158,0.99995,0.9999752951235658
7,4,3,356,1.0,0.0,0.38570000000000015,-1.6703000000000001,-1.2846,1.0,0.9999999999999999
7,4,3,358,0.58895,0.39725,0.042100000000000026,-1.3192,-1.2771,0.39725,0.9796803820497272
7,4,3,359,0.9998,0.0001,0.5787,-2.1587,-1.58,0.9998,0.9999450317320612
7,4,3,363,0.9634,0.0366,0.011500000000000066,-1.4410000000000003,-1.4295000000000002,0.9634,0.9997079111727967
7,4,3,364,0.99985,0.00015,0.30630000000000024,-1.9208,-1.6144999999999998,0.99985,0.9999760802790505
7,4,3,365,0.82385,0.17615,0.02059999999999995,-2.0628,-2.0422000000000002,0.82385,0.9982408910219118
7,4,3,366,0.63025,0.3696,0.04179999999999984,-1.601,-1.5592000000000001,0.3696,0.9835068613366645
7,4,3,367,1.0,0.0,0.24290000000000012,-1.5928,-1.3498999999999999,1.0,1.0
7,4,3,369,0.6755,0.3149,0.015700000000000047,-1.0488,-1.0331,0.6755,0.98185881006865
7,4,3,370,0.98985,0.00785,0.38690000000000024,-2.4583,-2.0713999999999997,0.98985,0.9983727026807143
7,4,3,371,1.0,0.0,0.2558,-1.8389,-1.5831,1.0,1.0
7,4,3,372,0.9989,0.00105,0.4096000000000002,-2.1471,-1.7374999999999998,0.9989,0.9997875855805506
7,4,3,373,0.9996,0.0004,0.19719999999999982,-1.6885999999999999,-1.4914,0.9996,0.9999532867464171
7,4,3,374,0.7774,0.2225,0.06370000000000031,-1.4022000000000001,-1.3384999999999998,0.2225,0.9646663742690057
7,4,3,375,0.99985,0.0001,0.039699999999999847,-2.0412,-2.0015,0.99985,0.9999861013129532
7,4,3,376,1.0,0.0,0.5408000000000004,-3.0134000000000003,-2.4726,1.0,1.0
7,4,3,377,1.0,0.0,0.4273999999999999,-1.3598,-0.9324,1.0,1.0
7,4,3,378,1.0,0.0,0.1748999999999996,-2.2729999999999997,-2.0981,1.0,1.0
7,4,3,380,1.0,0.0,0.24660000000000037,-2.9979,-2.7512999999999996,1.0,1.0
7,4,3,382,0.9999,5e-05,0.08210000000000006,-2.1407,-2.0585999999999998,0.9999,0.999972352501518
7,4,3,383,0.99985,0.0001,0.1907000000000001,-2.2361999999999997,-2.0454999999999997,0.99985,0.9999813455862624
7,4,3,384,0.72795,0.27205,0.04679999999999995,-1.6367999999999998,-1.5899999999999999,0.27205,0.9791861803519061
7,4,3,385,0.93105,0.0688,0.006299999999999972,-2.1713,-2.165,0.93105,0.9997710933542118
7,4,3,387,0.99995,5e-05,0.5017999999999998,-2.3722,-1.8704,0.99995,0.9999894233201246
7,4,3,388,0.5085,0.4904,0.06520000000000015,-1.1428,-1.0776,0.5085,0.9718139656982849
7,4,3,390,0.9999,0.0001,0.3444999999999996,-2.6674999999999995,-2.323,0.9999,0.9999636701030928
7,4,3,391,0.99975,0.00025,0.2008000000000001,-2.0318,-1.831,0.99975,0.9999752928437838
7,4,3,392,0.6592,0.19375,0.03369999999999995,-1.0144,-0.9807,0.6592,0.9824156940063091
7,4,3,393,0.94065,0.04605,0.16080000000000005,-1.1567,-0.9959,0.94065,0.9913545301288149
7,4,3,394,0.99935,0.0004,0.5514000000000001,-2.2325,-1.6810999999999998,0.99935,0.9998323807390818
7,4,3,395,1.0,0.0,0.0827,-1.1313,-1.0486,1.0,1.0
7,4,3,396,0.99985,5e-05,0.040100000000000025,-1.5217,-1.4816,0.99985,0.999983860156404
7,4,3,397,0.51835,0.48165,0.021300000000000097,-1.2395,-1.2182,0.51835,0.9917231585316659
7,4,3,399,0.88465,0.11465,0.0403,-1.8788,-1.8385,0.88465,0.997461544602938
7,4,3,400,0.99995,5e-05,0.029099999999999904,-1.8387,-1.8096,0.99995,0.9999693315929732
7,4,3,402,0.99995,5e-05,0.2552000000000003,-1.6861000000000002,-1.4308999999999998,0.99995,0.999986646699484
7,4,3,403,1.0,0.0,0.18900000000000006,-1.3068,-1.1178,1.0,1.0
7,4,3,404,0.6955,0.24065,0.00990000000000002,-1.9556,-1.9457,0.06385,0.9873359863980364
7,4,3,405,0.96565,0.03405,0.008799999999999919,-1.6812,-1.6724,0.03405,0.9949168659290986
7,4,3,407,0.9999,5e-05,0.14790000000000014,-2.1112,-1.9633,0.9999,0.999983973569534
7,4,3,409,0.99995,5e-05,0.399,-1.5812,-1.1822,0.99995,0.9999819472552492
7,4,3,410,0.46015,0.39615,0.04200000000000026,-1.3595000000000002,-1.3175,0.39615,0.9759982162559765
7,4,3,411,0.9997,0.00015,0.581,-2.4913,-1.9102999999999999,0.9997,0.9999189981134349
7,4,3,412,1.0,0.0,0.17310000000000003,-1.7357,-1.5626,1.0,1.0
